case,dataset_mode,model_name,seed,history,label_coverage_query_minus_label,label_coverage_label,label_coverage_query_max,full_set_coverage_query_minus_label,full_set_coverage_label,full_set_coverage_query_max,partial_answer_recall_query_minus_label,partial_answer_recall_label,partial_answer_recall_query_max,mean_set_size_query_minus_label,mean_set_size_label,mean_set_size_query_max,multi_minus_single_full_set_coverage_query_minus_label,multi_minus_single_full_set_coverage_label,multi_minus_single_full_set_coverage_query_max
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,71,static,-4.2036677000756306e-05,0.7967789396248227,0.796736902947822,-4.610711836272596e-05,0.7962699341244547,0.796223827006092,-4.322542346513192e-05,0.8097452216196778,0.8097019961962126,-0.40877994801439854,2481.6184290152096,2481.209649067195,-2.978861098756891e-05,-0.3007830144573779,-0.30081280306836544
icews05_15_distmult,icews05_15,temporal_distmult,17,expanding,-0.0014765382796489979,0.8464820555935053,0.8450055173138563,-0.0015042447365842815,0.8467975724602183,0.845293327723634,-0.0014395987143797084,0.8586915539984257,0.857251955284046,-26.318836486867895,3423.7923277755044,3397.4734912886365,-0.00132104487924245,-0.2732366154998731,-0.27455766037911555
icews05_15_distmult,icews05_15,temporal_distmult,17,rolling,-0.002327780988912842,0.9004046030161316,0.8980768220272187,-0.0023168826977274515,0.9009330928078658,0.8986162101101384,-0.0021458129384807068,0.9105643425626827,0.908418529624202,-76.71524820038212,4831.664939570858,4754.949691370476,-0.004031009908617489,-0.22190892606341817,-0.22593993597203565
icews05_15_distmult,icews05_15,temporal_distmult,17,static,-0.00019967421575317612,0.7952971467605485,0.7950974725447953,-0.00021324542242762146,0.7947541626082797,0.7945409171858521,-0.0002046003377347283,0.8084199702637364,0.8082153699260016,-2.7898207009434373,2657.38214732377,2654.5923266228265,-8.78878335629496e-05,-0.30664101838602276,-0.3067289062195857
icews05_15_distmult,icews05_15,temporal_distmult,29,expanding,5.2545846250806605e-06,0.8469234407020125,0.8469286952866376,5.763389795410134e-06,0.8450166850134575,0.8450224484032529,3.8422598637177785e-06,0.8572035979071061,0.8572074401669698,-0.6859125463233795,3238.270210767165,3237.5842982208414,7.356186552887056e-05,-0.2566981596460246,-0.25662459778049573
icews05_15_distmult,icews05_15,temporal_distmult,29,rolling,-0.0009720981556408104,0.9001576375387526,0.8991855393831117,-0.001002829824389484,0.899486481969235,0.8984836521448455,-0.0009517389955868705,0.9087725668417448,0.9078208278461579,-39.4362425003892,4536.516526520239,4497.080284019849,-0.0008274864610908761,-0.20166258832213668,-0.20249007478322756
icews05_15_distmult,icews05_15,temporal_distmult,29,static,0.0011927907098944202,0.7965214649781934,0.7977142556880878,0.0012276020264078147,0.7944198860001499,0.7956474880265577,0.001140437616931722,0.8083689391063936,0.8095093767233253,14.354909543596932,2550.2006293621657,2564.5555389057627,0.0017010195265616534,-0.2953436450034781,-0.29364262547691644
icews05_15_distmult,icews05_15,temporal_distmult,43,expanding,-0.00045714886238246155,0.8490147653827965,0.8485576165204141,-0.0004553077938319605,0.8478349826233798,0.8473796748295478,-0.0004433007317582449,0.8600851826100948,0.8596418818783366,-9.723760727109493,3269.7525892028657,3260.028828475756,-0.0003041394319517332,-0.26438531502301377,-0.2646894544549655
icews05_15_distmult,icews05_15,temporal_distmult,43,rolling,-0.001397719510272788,0.9001103462771268,0.898712626766854,-0.0014696643978122648,0.8998495755263416,0.8983799111285293,-0.0014166961011217172,0.9094258921924923,0.9080091960913705,-52.40887792564081,4581.508117734526,4529.099239808886,-0.0004007825604314119,-0.21123529418773035,-0.21163607674816176
icews05_15_distmult,icews05_15,temporal_distmult,43,static,0.0005149492932583488,0.8016026483106511,0.8021175976039094,0.0004898881326040883,0.800033427660813,0.8005233157934171,0.0005035281551195592,0.8136303648873603,0.8141338930424799,6.005861367421858,2553.673273432502,2559.6791347999238,-5.264125093740191e-05,-0.2915372974436439,-0.2915899386945813
icews05_15_distmult,icews05_15,temporal_distmult,59,expanding,0.0011402448636436135,0.8473753349797698,0.8485155798434134,0.0011584413488637813,0.8441982836625189,0.8453567250113827,0.0010760248747903045,0.8558191435225192,0.8568951683973095,20.365917618106323,2786.2774322945784,2806.6433499126847,0.001776059391489948,-0.23098766456549247,-0.22921160517400252
icews05_15_distmult,icews05_15,temporal_distmult,59,rolling,0.00042036677000689693,0.9001944196311281,0.900614786401135,0.000478361353013379,0.8985643396019803,0.8990427009549937,0.000470621943859606,0.9076704083624474,0.908141030306307,7.184566794805505,4113.24051778294,4120.425084577745,-0.0001199497943890071,-0.1881310723355768,-0.1882510221299658
icews05_15_distmult,icews05_15,temporal_distmult,59,static,0.0008249697861383298,0.8025852556355421,0.8034102254216804,0.0008356915203245885,0.7979643707242852,0.7988000622446098,0.0007963083567232854,0.8115309139704127,0.812327222327136,10.441412261035566,2196.1469894933402,2206.588401754376,0.0008492024261215203,-0.26103777840525666,-0.26018857597913514
icews05_15_distmult,icews05_15,temporal_distmult,71,expanding,-0.0007514056013872006,0.8485733802742893,0.8478219746729021,-0.0007665308427805551,0.8475929202519754,0.8468263894091949,-0.0007405955887015425,0.8595975680224913,0.8588569724337898,-12.94278106611182,3210.474459538122,3197.5316784720103,-0.00044535116541211117,-0.25853561236332656,-0.2589809635287387
icews05_15_distmult,icews05_15,temporal_distmult,71,rolling,-0.0010666806788923733,0.9002364563081289,0.8991697756292365,-0.0011353877896823628,0.899688200612072,0.8985528128223896,-0.0010430774964602652,0.9092320345887884,0.9081889570923282,-35.65336668414875,4544.954284792143,4509.300918107994,-0.0017212574921930957,-0.20643092028840115,-0.20815217778059425
icews05_15_distmult,icews05_15,temporal_distmult,71,static,-5.2545846250806605e-05,0.7993694498449897,0.7993169039987389,-5.763389795343521e-05,0.7985061293650474,0.798448495467094,-5.763389795343521e-05,0.8119401664165913,0.8118825325186378,-0.48970946752024247,2520.073927000905,2519.5842175333846,6.253322077354184e-05,-0.29203517715851424,-0.2919726439377407
icews14_continuous_complex,icews14,continuous_tcomplex,17,expanding,-0.0037568659964762885,0.8545445123847031,0.8507876463882268,-0.0036803674478860238,0.8583500176657638,0.8546696502178778,-0.003518220973467767,0.8775194091101679,0.8740011881367001,-63.04007184077227,3411.95197856554,3348.9119067247675,-0.003993551827224384,-0.3665299061518893,-0.3705234579791137
icews14_continuous_complex,icews14,continuous_tcomplex,17,rolling,-0.005492797181055109,0.8981500673644938,0.8926572701834387,-0.005417500883288184,0.9007772936049935,0.8953597927217053,-0.004847146333114116,0.9164049495863198,0.9115578032532057,-92.65375103050292,4090.8926215993406,3998.2388705688377,-0.011766977001056667,-0.2901439788674449,-0.3019109558685016
icews14_continuous_complex,icews14,continuous_tcomplex,17,static,-0.0064773551663385165,0.8223131930770028,0.8158358379106643,-0.006183017312448413,0.825962784124367,0.8197797668119186,-0.005937028562455704,0.8465717401277633,0.8406347115653076,-75.92836532799447,2973.1759510069487,2897.2475856789542,-0.007356251543515269,-0.39487877525679216,-0.4022350268003074
icews14_continuous_complex,icews14,continuous_tcomplex,29,expanding,-0.00479324282309046,0.8566172660379314,0.851824023214841,-0.00476975621246023,0.8620303851136497,0.8572606289011895,-0.004436329354495228,0.8806498190097694,0.8762134896552741,-76.35101872570976,3405.9159404074903,3329.5649216817806,-0.006987479694661958,-0.36383052327222154,-0.3708180029668835
icews14_continuous_complex,icews14,continuous_tcomplex,29,rolling,-0.008083739247590427,0.8992123536117732,0.8911286143641828,-0.007655164291602956,0.9030149570133083,0.8953597927217053,-0.00734363269902627,0.9194500450633674,0.9121064123643411,-138.13272877164036,4087.8295253798137,3949.6967966081734,-0.009600756748183281,-0.3101050221492211,-0.31970577889740437
icews14_continuous_complex,icews14,continuous_tcomplex,29,static,-0.004974608767748023,0.8184785988185305,0.8135039900507824,-0.004946413849958753,0.8237840065952184,0.8188375927452597,-0.004880447644845187,0.8443036523485459,0.8394232047037007,-60.18840537039205,2911.4076080555883,2851.2192026851963,-0.0012907014709864217,-0.4002195465178891,-0.4015102479888755
