case,dataset_mode,model_name,negative_sampling,seed,deletion_rate,objective,score,history,method,label_count,query_count,single_query_count,multi_query_count,label_coverage,full_set_coverage,partial_answer_recall,mean_set_size,single_full_set_coverage,multi_full_set_coverage,single_mean_set_size,multi_mean_set_size,multi_minus_single_full_set_coverage
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,softmax,rolling,label_softmax_rolling,190310,173509,159915,13594,0.9897377962272083,0.9900005187050815,0.9909419684281507,9783.77445550375,0.9919457211643685,0.9671178461085773,9800.299502860895,9589.379652787995,-0.024827875055791204
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,label,softmax,static,label_softmax_static,190310,173509,159915,13594,0.8071147075823656,0.806909151686656,0.8201026277173624,2614.4842111936555,0.8302723321764688,0.5320729733706047,2743.7631429196763,1093.6926585258202,-0.2981993588058641
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,query_max,margin,expanding,query_max_margin_expanding,190310,173509,159915,13594,0.8457621774998686,0.8458005060256241,0.8579192998933473,3252.70543891095,0.8674983585029546,0.590554656466088,3408.554582121752,1419.3513314697661,-0.2769437020368667
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,query_max,margin,rolling,query_max_margin_rolling,190310,173509,159915,13594,0.897971730334717,0.8984029646877107,0.9081260912340281,4546.182912701935,0.9159490979582904,0.6919964690304546,4748.947634680924,2160.9305575989406,-0.22395262892783574
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,17,0.3,query_max,margin,static,query_max_margin_static,190310,173509,159915,13594,0.7997950711996217,0.7995377761384136,0.8129561753170613,2570.484873983482,0.8232998780602195,0.5200088274238635,2697.0574430166025,1081.5300132411357,-0.3032910506363561
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,margin,expanding,label_margin_expanding,190310,173509,159915,13594,0.8459145604539962,0.8445325602706488,0.8568801835838415,3145.837063207096,0.8655910952693618,0.5968074150360453,3296.458781227527,1373.9765337648962,-0.26878368023331656
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,margin,rolling,label_margin_rolling,190310,173509,159915,13594,0.8999369449844989,0.8997919416283882,0.9094240249124146,4527.634364787994,0.9167057499296501,0.7008238928939238,4724.336522527593,2213.699867588642,-0.21588185703572638
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,margin,static,label_margin_static,190310,173509,159915,13594,0.7968052125479481,0.7944371761695359,0.8083272426861232,2455.528525897792,0.8175343151048995,0.5227306164484331,2576.414814120001,1033.4650581138737,-0.2948036986564664
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,minmax,expanding,label_minmax_expanding,190310,173509,159915,13594,0.8769376280805002,0.8689059357151502,0.8768880407557651,2634.181587122282,0.876646968702123,0.7778431661026923,2677.6003001594595,2123.419229071649,-0.09880380259943067
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,29,0.3,label,minmax,rolling,label_minmax_rolling,190310,173509,159915,13594,0.8990331564289843,0.8924032759107596,0.8989516005162168,3377.2421430588615,0.8987024356689491,0.8183021921435928,3419.522952818685,2879.8656760335443,-0.08040024352535635
