deletion_rate,method,timestamp_id,timestamp_raw,timestamp_plot,coverage_mean,coverage_sd,coverage_min,coverage_max,seed_count
0,static,316,317,317,0.8579595427,0.007952128989,0.8496042216,0.8654353562,3
0,static,317,318,318,0.8576719577,0.01697250257,0.8380952381,0.8682539683,3
0,static,318,319,319,0.8411306043,0.01713293941,0.8216374269,0.8538011696,3
0,static,319,320,320,0.8590534979,0.0099214514,0.8518518519,0.8703703704,3
0,static,320,321,321,0.8564311594,0.01333553611,0.8410326087,0.8641304348,3
0,static,321,322,322,0.8647058824,0.01203728349,0.8514705882,0.875,3
0,static,322,323,323,0.8612774451,0.005257312252,0.8562874251,0.8667664671,3
0,static,323,324,324,0.8363273453,0.006232532933,0.8293413174,0.8413173653,3
0,static,324,325,325,0.8438023451,0.004038379716,0.8391959799,0.8467336683,3
0,static,325,326,326,0.8015075377,0.006647616359,0.7939698492,0.8065326633,3
0,static,326,327,327,0.8167456556,0.006840643,0.8127962085,0.8246445498,3
0,static,327,328,328,0.8536585366,0.007040856941,0.8455284553,0.8577235772,3
0,static,328,329,329,0.855,0.01092906421,0.8433333333,0.865,3
0,static,329,330,330,0.8445419103,0.004466448046,0.8406432749,0.8494152047,3
0,static,330,331,331,0.8307291667,0.006314768569,0.8234375,0.834375,3
0,static,331,332,332,0.8642951252,0.006940483368,0.8577075099,0.871541502,3
0,static,332,333,333,0.8343815514,0.001815566884,0.8333333333,0.8364779874,3
0,static,333,334,334,0.8460038986,0.02233224023,0.8216374269,0.865497076,3
0,static,334,335,335,0.8480952381,0.006598288791,0.8442857143,0.8557142857,3
0,static,335,336,336,0.8318089431,0.005353482598,0.8262195122,0.8368902439,3
0,static,336,337,337,0.8143459916,0.007805194402,0.8053797468,0.8196202532,3
0,static,337,338,338,0.8260869565,0.007896556057,0.8206521739,0.8351449275,3
0,static,338,339,339,0.8205645161,0.01411290323,0.810483871,0.8366935484,3
0,static,339,340,340,0.843495935,0.01269308536,0.8292682927,0.8536585366,3
0,static,340,341,341,0.862804878,0.003048780488,0.8597560976,0.8658536585,3
0,static,341,342,342,0.8252314815,0.01060781411,0.8159722222,0.8368055556,3
0,static,342,343,343,0.8107966457,0.01280586134,0.8018867925,0.8254716981,3
0,static,343,344,344,0.8219106957,0.007683618166,0.8130841121,0.8271028037,3
0,static,344,345,345,0.8215384615,0.00266469355,0.82,0.8246153846,3
0,static,345,346,346,0.8452787258,0.007104662114,0.8395904437,0.8532423208,3
0,static,346,347,347,0.8511904762,0.02202179849,0.8258928571,0.8660714286,3
0,static,347,348,348,0.8311546841,0.01147674701,0.8202614379,0.8431372549,3
0,static,348,349,349,0.8118580766,0.004278782161,0.8081232493,0.8165266106,3
0,static,349,350,350,0.8105555556,0.006309898162,0.8033333333,0.815,3
0,static,350,351,351,0.8018292683,0.003048780488,0.7987804878,0.8048780488,3
0,static,351,352,352,0.7937420179,0.00905328664,0.7835249042,0.8007662835,3
0,static,352,353,353,0.7763347763,0.01230788031,0.7662337662,0.79004329,3
0,static,353,354,354,0.8071625344,0.002385744914,0.805785124,0.8099173554,3
0,static,354,355,355,0.7983193277,0.01111660215,0.7899159664,0.8109243697,3
0,static,355,356,356,0.7820069204,0.01351254269,0.7733564014,0.7975778547,3
0,static,356,357,357,0.7937956204,0.007299270073,0.7864963504,0.8010948905,3
0,static,357,358,358,0.7996715928,0.009954314986,0.7906403941,0.8103448276,3
0,static,358,359,359,0.7688888889,0.006938886665,0.7633333333,0.7766666667,3
0,static,359,360,360,0.8575757576,0.009090909091,0.8484848485,0.8666666667,3
0,static,360,361,361,0.7909356725,0.006699672069,0.7850877193,0.798245614,3
0,static,361,362,362,0.8143631436,0.01692411382,0.8008130081,0.8333333333,3
0,static,362,363,363,0.7946236559,0.006518470781,0.7870967742,0.7983870968,3
0,static,363,364,364,0.8195164076,0.01078583419,0.810880829,0.8316062176,3
0,static,364,365,365,0.8258003766,0.008630086055,0.8163841808,0.8333333333,3
0,weighted,292,293,293,0.9077625571,0.01028158014,0.897260274,0.9178082192,3
0,weighted,293,294,294,0.8931104357,0.005753706531,0.8890577508,0.8996960486,3
