run,dataset_mode,model_name,negative_sampling,seed,method,deletion_rate,coverage_change_vs_delete0,mean_size_change_vs_delete0,mrr_change_vs_delete0
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_softmax_static,0.1,-0.0002259471389,155.1093847,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_softmax_static,0.2,-0.007771530661,223.2241974,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,kgcp_softmax_static,0.3,-0.003037149913,471.9731281,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,rolling_margin,0.1,-0.00042036677,255.0298776,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,rolling_margin,0.2,-0.0003835846776,406.7000998,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,rolling_margin,0.3,-0.0003100204929,673.8366823,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,static_margin,0.1,-0.000126110031,158.8889811,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,static_margin,0.2,-0.006279228627,243.1759813,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,static_margin,0.3,-0.001513320372,493.1142977,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,top1,0.1,0.002784929851,0,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,top1,0.2,0.003278860806,0,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,top1,0.3,0.002842730282,0,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,weighted,0.1,-0.000462403447,250.6753035,0.0006633317951
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,weighted,0.2,-0.0003468025853,405.6121381,0.0006082806869
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,weighted,0.3,-0.0004308759393,672.5788083,-0.001135448135
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,adaptive,0.1,0.000126110031,115.8658137,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,adaptive,0.2,0.0004834217855,474.8151017,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,adaptive,0.3,0.0006936051705,154.5713835,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_minmax_static,0.1,5.254584625e-05,59.79634806,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_minmax_static,0.2,-0.001497556618,105.0089486,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_minmax_static,0.3,0.001145499448,373.864169,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_negscore_static,0.1,-0.003825337607,20.26318113,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_negscore_static,0.2,-0.006379065735,7.75065945,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_negscore_static,0.3,-0.0039304293,494.8822237,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_softmax_static,0.1,0.0001786558773,109.8993537,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_softmax_static,0.2,-0.009253323525,271.072487,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,kgcp_softmax_static,0.3,-0.00104566234,123.7827702,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,rolling_margin,0.1,0.0001103462771,121.7605801,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,rolling_margin,0.2,9.983710788e-05,472.8201724,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,rolling_margin,0.3,0.0001418737849,144.2369135,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,static_margin,0.1,0.001802322526,124.4155746,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,static_margin,0.2,-0.006468393673,306.6091798,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,static_margin,0.3,0.0008459881246,143.0105775,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,top1,0.1,-0.0006568230781,0,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,top1,0.2,0.002580001051,0,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,top1,0.3,-0.002580001051,0,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,weighted,0.1,0.0001208554464,115.8926226,-0.000745968911
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,weighted,0.2,0.0003835846776,472.3385161,0.0004988694702
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,59,weighted,0.3,0.0002784929851,142.1407651,-0.002435278772
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,adaptive,0.1,0.0003573117545,160.8606379,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,adaptive,0.2,4.729126163e-05,189.6163733,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,adaptive,0.3,0.0005674951395,592.0029951,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_minmax_static,0.1,0.002059797173,-92.91598445,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_minmax_static,0.2,0.006263464873,21.71641532,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_minmax_static,0.3,0.008139351584,130.302622,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_negscore_static,0.1,-9.458252325e-05,-88.09195523,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_negscore_static,0.2,0.002227943881,15.09117755,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_negscore_static,0.3,0.0003520571699,61.68169828,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_softmax_static,0.1,-0.005958698965,115.9678577,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_softmax_static,0.2,0.002212180127,248.8168094,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,kgcp_softmax_static,0.3,-0.001014134833,472.5392728,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,rolling_margin,0.1,0.0003100204929,155.034654,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,rolling_margin,0.2,1.576375388e-05,184.7883558,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,rolling_margin,0.3,0.0003152750775,576.9207766,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,static_margin,0.1,-0.006042772319,124.9495087,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,static_margin,0.2,0.003084441175,265.1482371,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,static_margin,0.3,0.0002732384005,490.1197415,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,top1,0.1,0.0004308759393,0,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,top1,0.2,0.002958331144,0,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,top1,0.3,0.004513688193,0,0.0005552306893
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,weighted,0.1,0.0002890021544,158.7741895,0.001535440211
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,weighted,0.2,0,188.1126268,0.001440610405
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,weighted,0.3,0.0002574746466,580.5474804,0.0005552306893
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,adaptive,0.3,0.0001734012926,923.0780463,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,kgcp_minmax_static,0.3,0.006126845673,210.5943093,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,kgcp_negscore_static,0.3,0.003094950344,198.7332878,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,kgcp_softmax_static,0.3,-0.001944196311,602.8688561,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,rolling_margin,0.3,8.4073354e-05,921.6262099,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,static_margin,0.3,-0.001712994588,599.4805738,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,top1,0.3,0.003494298776,0,-0.001794522805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,weighted,0.3,8.932793863e-05,917.9774999,-0.001794522805
