run,dataset_mode,model_name,negative_sampling,deletion_rate,method,seed_count,multi_query_count_mean,multi_query_count_sd,full_set_coverage_multi_minus_single_mean,full_set_coverage_multi_minus_single_sd,partial_recall_multi_minus_single_mean,partial_recall_multi_minus_single_sd,mean_size_multi_minus_single_mean,mean_size_multi_minus_single_sd
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,kgcp_softmax_static,5,3439,0,-0.3840433644,0.004506432823,-0.1842566875,0.007890270207,-1839.80168,35.23620842
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,rolling_margin,5,3439,0,-0.297018495,0.002845229736,-0.1410816727,0.003461190512,-2243.35429,18.74178992
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.2,static_margin,5,3439,0,-0.3873191467,0.003561897181,-0.1864175739,0.008108105787,-1836.805031,34.48237631
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,5,3439,0,-0.3934310771,0.006497603626,-0.1879584162,0.006244841184,-1887.623132,23.69704977
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,rolling_margin,5,3439,0,-0.3015177612,0.009189647565,-0.1424700457,0.005473380605,-2277.995148,20.24452047
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.3,static_margin,5,3439,0,-0.3952175172,0.006077577263,-0.1900153299,0.005626307492,-1892.314032,22.45903187
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,kgcp_softmax_static,5,3439,0,-0.3732364193,0.01093868801,-0.1716933337,0.01395833261,-1745.241299,79.92602319
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,rolling_margin,5,3439,0,-0.2879890622,0.0110230034,-0.1301147942,0.01154818363,-2158.717651,63.42492163
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0,static_margin,5,3439,0,-0.376535045,0.01026023361,-0.1745591908,0.01511499107,-1747.709937,82.77486898
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,kgcp_softmax_static,5,3439,0,-0.3906305811,0.007312012109,-0.1846240294,0.004336673091,-1879.870843,30.34916893
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,rolling_margin,5,3439,0,-0.300686468,0.007107039212,-0.140759097,0.004899529613,-2270.957236,20.43349127
icews14_tcomplex_uniform_sensitivity,icews14,continuous_tcomplex,uniform,0.3,static_margin,5,3439,0,-0.3913783805,0.00696886622,-0.1863343179,0.004852820728,-1887.506521,21.55693645
