run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,answer_group,query_count,mean_answer_count,full_set_coverage,partial_answer_recall,mean_size
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,rolling_margin,multi,3439,2.34690317,0.6536783949,0.8030694831,2139.764466
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,rolling_margin,single,30525,1,0.9314660115,0.9314660115,4283.539099
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,static_margin,multi,3439,2.34690317,0.4969467869,0.6913952699,1202.800523
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.2,static_margin,single,30525,1,0.855004095,0.855004095,2967.940966
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.5050886886,0.6905794643,1280.596685
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,kgcp_softmax_static,single,30525,1,0.8594922195,0.8594922195,3092.920622
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,rolling_margin,multi,3439,2.34690317,0.6530968305,0.7998051067,2199.515848
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,rolling_margin,single,30525,1,0.9335954136,0.9335954136,4427.506798
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,static_margin,multi,3439,2.34690317,0.5036347776,0.6891934025,1339.521954
icews14_distmult_filtered,icews14,temporal_distmult,filtered,71,0.3,static_margin,single,30525,1,0.8607698608,0.8607698608,3150.406552
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,kgcp_softmax_static,multi,3439,2.34690317,0.4838615877,0.6808856925,1074.777842
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,kgcp_softmax_static,single,30525,1,0.8601801802,0.8601801802,2833.653628
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,rolling_margin,multi,3439,2.34690317,0.6414655423,0.7964892664,1888.035766
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,rolling_margin,single,30525,1,0.9294021294,0.9294021294,4049.503096
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,static_margin,multi,3439,2.34690317,0.4882233207,0.6828277022,1124.551323
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0,static_margin,single,30525,1,0.862047502,0.862047502,2894.530778
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.4684501309,0.6718050747,1068.281186
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,kgcp_softmax_static,single,30525,1,0.8568386568,0.8568386568,2828.02457
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,rolling_margin,multi,3439,2.34690317,0.6379761559,0.7916214339,1933.422507
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,rolling_margin,single,30525,1,0.931007371,0.931007371,4137.462539
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,static_margin,multi,3439,2.34690317,0.4661238732,0.6712269719,1106.49084
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.1,static_margin,single,30525,1,0.8548075348,0.8548075348,2857.150401
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.478627508,0.676869735,1218.733353
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,kgcp_softmax_static,single,30525,1,0.8696478296,0.8696478296,3078.625291
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,rolling_margin,multi,3439,2.34690317,0.6350683338,0.7904648823,2018.214888
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,rolling_margin,single,30525,1,0.9306797707,0.9306797707,4232.976871
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,static_margin,multi,3439,2.34690317,0.4739749927,0.673213495,1231.848502
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.2,static_margin,single,30525,1,0.8666011466,0.8666011466,3079.186568
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4699040419,0.6746834519,1223.99273
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,kgcp_softmax_static,single,30525,1,0.8648976249,0.8648976249,3115.39656
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,rolling_margin,multi,3439,2.34690317,0.6400116313,0.7943523431,2059.553359
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,rolling_margin,single,30525,1,0.9301556102,0.9301556102,4319.746568
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,static_margin,multi,3439,2.34690317,0.4710671707,0.674603833,1276.248619
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,17,0.3,static_margin,single,30525,1,0.8659459459,0.8659459459,3164.354562
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0,kgcp_softmax_static,multi,3439,2.34690317,0.4838615877,0.6816756101,1172.482117
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0,kgcp_softmax_static,single,30525,1,0.8684684685,0.8684684685,2975.529337
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0,rolling_margin,multi,3439,2.34690317,0.635359116,0.7904072553,1937.69148
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0,rolling_margin,single,30525,1,0.9324488124,0.9324488124,4147.553186
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0,static_margin,multi,3439,2.34690317,0.4803722012,0.6774301899,1198.378017
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0,static_margin,single,30525,1,0.8666666667,0.8666666667,3001.903194
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.480081419,0.6766718755,1136.470486
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.1,kgcp_softmax_static,single,30525,1,0.8640786241,0.8640786241,2954.788239
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.1,rolling_margin,multi,3439,2.34690317,0.6333236406,0.7898035021,1953.091306
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.1,rolling_margin,single,30525,1,0.9322194922,0.9322194922,4184.956658
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.1,static_margin,multi,3439,2.34690317,0.4780459436,0.6746084757,1171.685374
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.1,static_margin,single,30525,1,0.8643079443,0.8643079443,2991.475184
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.4844431521,0.6776688159,1149.399244
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.2,kgcp_softmax_static,single,30525,1,0.8666994267,0.8666994267,2994.8095
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.2,rolling_margin,multi,3439,2.34690317,0.6315789474,0.7900543051,1961.856644
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.2,rolling_margin,single,30525,1,0.9333660934,0.9333660934,4212.965012
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.2,static_margin,multi,3439,2.34690317,0.4768828148,0.6701020168,1172.067752
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.2,static_margin,single,30525,1,0.8641769042,0.8641769042,3009.050352
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4687409131,0.6700482451,1182.759523
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.3,kgcp_softmax_static,single,30525,1,0.8653235053,0.8653235053,3067.556658
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.3,rolling_margin,multi,3439,2.34690317,0.6243093923,0.7866244055,2016.737714
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.3,rolling_margin,single,30525,1,0.9344144144,0.9344144144,4321.162195
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.3,static_margin,multi,3439,2.34690317,0.4640883978,0.6667430208,1212.337598
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,29,0.3,static_margin,single,30525,1,0.8643079443,0.8643079443,3102.827879
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0,kgcp_softmax_static,multi,3439,2.34690317,0.475719686,0.6751269966,1139.134632
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0,kgcp_softmax_static,single,30525,1,0.8654873055,0.8654873055,2953.434922
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0,rolling_margin,multi,3439,2.34690317,0.6397208491,0.789685886,1953.408549
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0,rolling_margin,single,30525,1,0.9347092547,0.9347092547,4175.102965
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0,static_margin,multi,3439,2.34690317,0.4748473393,0.673770013,1172.590288
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0,static_margin,single,30525,1,0.8647665848,0.8647665848,2987.52855
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.1,kgcp_softmax_static,multi,3439,2.34690317,0.4826984589,0.6814926698,1130.984879
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.1,kgcp_softmax_static,single,30525,1,0.8659131859,0.8659131859,2952.693595
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.1,rolling_margin,multi,3439,2.34690317,0.6359406804,0.7877572615,1952.492876
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.1,rolling_margin,single,30525,1,0.9327764128,0.9327764128,4189.387977
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.1,static_margin,multi,3439,2.34690317,0.4806629834,0.6798620088,1159.865368
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.1,static_margin,single,30525,1,0.8659131859,0.8659131859,2994.356691
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.2,kgcp_softmax_static,multi,3439,2.34690317,0.4765920326,0.6755365624,1131.077639
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.2,kgcp_softmax_static,single,30525,1,0.8592628993,0.8592628993,2967.447502
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.2,rolling_margin,multi,3439,2.34690317,0.6347775516,0.7915014285,1966.976737
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.2,rolling_margin,single,30525,1,0.931957412,0.931957412,4227.036036
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.2,static_margin,multi,3439,2.34690317,0.4725210817,0.673501087,1159.200058
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.2,static_margin,single,30525,1,0.8586076986,0.8586076986,3004.287797
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.3,kgcp_softmax_static,multi,3439,2.34690317,0.4611805757,0.6717781549,1194.60599
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.3,kgcp_softmax_static,single,30525,1,0.862964783,0.862964783,3065.89638
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.3,rolling_margin,multi,3439,2.34690317,0.6248909567,0.786960149,2037.435592
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.3,rolling_margin,single,30525,1,0.9330712531,0.9330712531,4293.377035
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,43,0.3,static_margin,multi,3439,2.34690317,0.4597266647,0.6701836991,1238.575167
