run,dataset_mode,model_name,negative_sampling,deletion_rate,method,answer_group,seed_count,query_count_mean,query_count_sd,mean_answer_count_mean,mean_answer_count_sd,full_set_coverage_mean,full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,mean_size_mean,mean_size_sd
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,static_margin,single,5,30525,0,1,0,0.8617067977,0.005333681448,0.8617067977,0.005333681448,3025.6865,110.4095814
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4947368421,0.009285928343,0.6895975897,0.004001512442,1214.968654,81.57099454
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_softmax_static,single,5,30525,0,1,0,0.8581031941,0.006456494665,0.8581031941,0.006456494665,2989.500731,117.3174471
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,rolling_margin,multi,5,3439,0,2.34690317,0,0.6548415237,0.007393534245,0.8024425013,0.004061746949,2104.868392,93.24630975
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,rolling_margin,single,5,30525,0,1,0,0.9302276822,0.001810921749,0.9302276822,0.001810921749,4273.374211,92.48814064
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,static_margin,multi,5,3439,0,2.34690317,0,0.4977028206,0.008516494007,0.6906352668,0.003735025322,1258.296074,88.67206729
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,static_margin,single,5,30525,0,1,0,0.8586535627,0.006797394978,0.8586535627,0.006797394978,3035.890778,127.2868
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4984006979,0.006495582409,0.6902221945,0.003338655054,1293.758186,77.96083421
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,kgcp_softmax_static,single,5,30525,0,1,0,0.8606519247,0.007932380418,0.8606519247,0.007932380418,3104.435283,128.1529375
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,rolling_margin,multi,5,3439,0,2.34690317,0,0.6532131434,0.002539978808,0.8025544687,0.00244370724,2161.465833,33.29123405
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,rolling_margin,single,5,30525,0,1,0,0.9305487305,0.002191619259,0.9305487305,0.002191619259,4359.937225,63.76510435
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,static_margin,multi,5,3439,0,2.34690317,0,0.4969467869,0.008827048117,0.6881051155,0.003147577348,1335.010992,88.93435
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.3,static_margin,single,5,30525,0,1,0,0.859977068,0.009183578562,0.859977068,0.009183578562,3145.509936,146.9840059
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4829310846,0.005824361016,0.681261092,0.005532466287,1107.057982,51.95175503
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,kgcp_softmax_static,single,5,30525,0,1,0,0.8618050778,0.004972655721,0.8618050778,0.004972655721,2888.806323,82.13117924
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,rolling_margin,multi,5,3439,0,2.34690317,0,0.6388485025,0.002543305566,0.7923827199,0.003568081256,1912.609072,49.35666152
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,rolling_margin,single,5,30525,0,1,0,0.9314266994,0.002454642601,0.9314266994,0.002454642601,4110.116639,76.4265203
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,static_margin,multi,5,3439,0,2.34690317,0,0.4820005816,0.00666456065,0.6794270871,0.005696119835,1139.296074,53.41174089
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0,static_margin,single,5,30525,0,1,0,0.8611760852,0.004998380182,0.8611760852,0.004998380182,2922.863037,86.9267052
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,0.1,kgcp_softmax_static,multi,5,3439,0,2.34690317,0,0.4760104682,0.00697574326,0.6767700708,0.003957862511,1098.232626,32.75434962
