run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,timestamp_count,query_count,timestamp_macro_coverage,coverage,mean_size,mrr,frequency_mrr
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.1,weighted,73,38596,0.8976532029,0.8975541507,3720.323039,0.3172108884,0.09277009956
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,adaptive,73,38596,0.8974138172,0.8974246036,3609.275858,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,kgcp_minmax_static,73,38596,0.8998246036,0.9000932739,2241.007773,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,kgcp_negscore_static,73,38596,0.8955386246,0.896155042,2999.628433,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,kgcp_softmax_static,73,38596,0.8084821541,0.8120271531,2436.967225,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,rolling_margin,73,38596,0.8983749684,0.8985387087,3630.089051,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,static_margin,73,38596,0.8076722756,0.811405327,2470.77464,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,top1,73,38596,0.227215939,0.2243237641,1,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.2,weighted,73,38596,0.8972222664,0.8973209659,3607.729169,0.3142114772,0.0927207287
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,adaptive,73,38596,0.8987967609,0.8980723391,3791.676443,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_minmax_static,73,38596,0.9001724707,0.8993419007,2536.599285,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_negscore_static,73,38596,0.8982482015,0.8978132449,3278.074464,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,73,38596,0.8086357851,0.8116644212,2516.851047,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,rolling_margin,73,38596,0.8998363742,0.8990050782,3810.754171,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,static_margin,73,38596,0.8049924896,0.8084775624,2522.356669,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,top1,73,38596,0.2249376683,0.2217846409,1,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,29,0.3,weighted,73,38596,0.8987525718,0.8980205203,3790.434371,0.3092405327,0.09276303979
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,adaptive,73,38596,0.8988105534,0.898435071,3694.566743,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,kgcp_minmax_static,73,38596,0.9033577587,0.9030987667,1947.279278,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,kgcp_negscore_static,73,38596,0.8975602361,0.8973468753,2720.015157,0.3175682212,0.09260796714
icews14_distmult_filtered,icews14,temporal_distmult,filtered,43,0,kgcp_softmax_static,73,38596,0.8311780816,0.8343092548,2746.058711,0.3175682212,0.09260796714
