run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,method,multi_query_count,full_set_coverage_multi_minus_single,partial_recall_multi_minus_single,mean_size_multi_minus_single
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.1,static_margin,3439,-0.3789237534,-0.1792395752,-1792.584858
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.2,kgcp_softmax_static,3439,-0.3789573993,-0.1718797374,-1782.453457
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.2,rolling_margin,3439,-0.2944114899,-0.1361559293,-2234.471608
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.2,static_margin,3439,-0.3827581537,-0.1740424187,-1780.424558
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.3,kgcp_softmax_static,3439,-0.3877196745,-0.18314164,-1925.634753
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.3,rolling_margin,3439,-0.3060137808,-0.1452722631,-2289.57888
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,59,0.3,static_margin,3439,-0.3900827503,-0.1863500611,-1930.406074
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0,kgcp_softmax_static,3439,-0.378030821,-0.1792538914,-1793.923079
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0,rolling_margin,3439,-0.2948536027,-0.1426626973,-2223.728065
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0,static_margin,3439,-0.3811352032,-0.1825133575,-1800.921946
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.1,kgcp_softmax_static,3439,-0.3845556022,-0.1788615178,-1777.4082
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.1,rolling_margin,3439,-0.2921669847,-0.1376715149,-2206.685692
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.1,static_margin,3439,-0.3841172521,-0.179151508,-1780.714204
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.2,kgcp_softmax_static,3439,-0.3853119598,-0.1838686578,-1874.882885
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.2,rolling_margin,3439,-0.296102542,-0.1452697741,-2256.370191
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.2,static_margin,3439,-0.3878307195,-0.1854763,-1874.192191
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.3,kgcp_softmax_static,3439,-0.3860753285,-0.1799743799,-1864.989552
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.3,rolling_margin,3439,-0.2931457276,-0.1373735855,-2279.837724
icews14_tcomplex_filtered,icews14,continuous_tcomplex,filtered,71,0.3,static_margin,3439,-0.3885201567,-0.1828902291,-1880.263029
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0,kgcp_softmax_static,13594,-0.2749595023,-0.100250138,-1265.387116
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0,rolling_margin,13594,-0.1878331862,-0.07329316072,-2215.575809
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0,static_margin,13594,-0.2807306424,-0.1036599422,-1284.11462
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.1,kgcp_softmax_static,13594,-0.2783975833,-0.1074923892,-1332.693319
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.1,rolling_margin,13594,-0.1945840499,-0.07868797563,-2306.373043
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.1,static_margin,13594,-0.2831181653,-0.1114663182,-1349.985768
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.2,kgcp_softmax_static,13594,-0.2798898539,-0.1096292072,-1438.873294
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.2,rolling_margin,13594,-0.1924588285,-0.07984384691,-2448.460277
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.2,static_margin,13594,-0.286197189,-0.1136438641,-1456.802584
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.3,kgcp_softmax_static,13594,-0.3033680257,-0.1299355835,-1626.598595
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.3,rolling_margin,13594,-0.2219089261,-0.09897906629,-2582.747424
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,17,0.3,static_margin,13594,-0.3066410184,-0.1322154909,-1647.593313
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0,kgcp_softmax_static,13594,-0.2440415742,-0.08046614327,-1246.574442
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0,rolling_margin,13594,-0.1759282166,-0.06802726625,-2226.518691
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0,static_margin,13594,-0.2442038225,-0.08044775629,-1252.976467
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.1,kgcp_softmax_static,13594,-0.2756388411,-0.1007163783,-1354.074234
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.1,rolling_margin,13594,-0.1838769908,-0.07203329955,-2292.531712
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.1,static_margin,13594,-0.2775805588,-0.102146841,-1363.540546
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.2,kgcp_softmax_static,13594,-0.2812725208,-0.1086541233,-1471.460188
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.2,rolling_margin,13594,-0.1942644478,-0.08064849948,-2462.868694
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.2,static_margin,13594,-0.2842559286,-0.1108540973,-1478.048104
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.3,kgcp_softmax_static,13594,-0.2911290154,-0.1141076006,-1550.397576
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.3,rolling_margin,13594,-0.2016625883,-0.08313829083,-2465.802581
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,29,0.3,static_margin,13594,-0.295343645,-0.1173028729,-1563.282956
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0,kgcp_softmax_static,13594,-0.2473404882,-0.08287580788,-1244.199649
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0,rolling_margin,13594,-0.1798082355,-0.06747068731,-2131.41906
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0,static_margin,13594,-0.2513544448,-0.08410860048,-1252.369438
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,kgcp_softmax_static,13594,-0.2594953621,-0.09872348738,-1366.331087
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,rolling_margin,13594,-0.190674925,-0.0771775514,-2302.683905
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.1,static_margin,13594,-0.2628969471,-0.1012931546,-1370.309414
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,kgcp_softmax_static,13594,-0.2863630695,-0.1160472274,-1410.616329
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,rolling_margin,13594,-0.2016566763,-0.08110358928,-2354.94164
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.2,static_margin,13594,-0.2874170408,-0.1173506961,-1425.671852
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,43,0.3,kgcp_softmax_static,13594,-0.2888057292,-0.1156540214,-1550.500108
