dataset_mode,model_name,seed,deletion_rate,method,filtered_run,uniform_run,coverage_filtered_minus_uniform,mean_size_filtered_minus_uniform,mrr_filtered_minus_uniform
icews05_15,temporal_distmult,71,0,kgcp_negscore_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001082444433,36.09276969,-0.001345402964
icews05_15,temporal_distmult,71,0,kgcp_softmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.0001208554464,102.6743524,-0.001345402964
icews05_15,temporal_distmult,71,0,rolling_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-2.10183385e-05,250.1892544,-0.001345402964
icews05_15,temporal_distmult,71,0,static_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.0001734012926,91.71196469,-0.001345402964
icews05_15,temporal_distmult,71,0,top1,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.0006358047396,0,-0.001345402964
icews05_15,temporal_distmult,71,0,weighted,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,7.356418475e-05,246.7715885,-0.001345402964
icews05_15,temporal_distmult,71,0.3,adaptive,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-4.2036677e-05,97.06565078,0.0009752148965
icews05_15,temporal_distmult,71,0.3,kgcp_minmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-0.001255845725,-54.20861226,0.0009752148965
icews05_15,temporal_distmult,71,0.3,kgcp_negscore_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001029898587,36.35017603,0.0009752148965
icews05_15,temporal_distmult,71,0.3,kgcp_softmax_static,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.0009090431401,103.5064316,0.0009752148965
icews05_15,temporal_distmult,71,0.3,rolling_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,4.2036677e-05,97.53338238,0.0009752148965
icews05_15,temporal_distmult,71,0.3,static_margin,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001812831696,124.0092113,0.0009752148965
icews05_15,temporal_distmult,71,0.3,top1,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,0.001539593295,0,0.0009752148965
icews05_15,temporal_distmult,71,0.3,weighted,icews05_15_distmult_filtered,icews05_15_distmult_uniform_sensitivity,-5.780043088e-05,95.07404235,0.0009752148965
icews14,continuous_tcomplex,17,0,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0007254637786,281.7656234,0.002209100023
icews14,continuous_tcomplex,17,0,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.001710021764,-11.45276713,0.002209100023
icews14,continuous_tcomplex,17,0,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,5.181884133e-05,-99.5340968,0.002209100023
icews14,continuous_tcomplex,17,0,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.00391232252,247.5434501,0.002209100023
icews14,continuous_tcomplex,17,0,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0008291014613,281.407037,0.002209100023
icews14,continuous_tcomplex,17,0,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0077728262,284.5740232,0.002209100023
icews14,continuous_tcomplex,17,0,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.002824126853,0,0.002209100023
icews14,continuous_tcomplex,17,0,weighted,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.0009586485646,281.7715307,0.002209100023
icews14,continuous_tcomplex,17,0.3,adaptive,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.00038864131,26.99497357,-0.0001912874559
icews14,continuous_tcomplex,17,0.3,kgcp_minmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.003782775417,-38.3369002,-0.0001912874559
icews14,continuous_tcomplex,17,0.3,kgcp_negscore_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0006477355166,-63.65063737,-0.0001912874559
icews14,continuous_tcomplex,17,0.3,kgcp_softmax_static,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.005311431236,-47.31744222,-0.0001912874559
icews14,continuous_tcomplex,17,0.3,rolling_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,0.000466369572,26.13607628,-0.0001912874559
icews14,continuous_tcomplex,17,0.3,static_margin,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.004508239196,-45.57503368,-0.0001912874559
icews14,continuous_tcomplex,17,0.3,top1,icews14_tcomplex_filtered,icews14_tcomplex_uniform_sensitivity,-0.0005959166753,0,-0.0001912874559
