run,dataset_mode,model_name,negative_sampling,deletion_rate,method,seed_count,coverage_mean,coverage_sd,timestamp_macro_coverage_mean,timestamp_macro_coverage_sd,mean_size_mean,mean_size_sd,mrr_mean,mrr_sd,coverage_abs_error_mean,undercoverage_mean
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,adaptive,5,0.8992044559,0.000356317409,0.8991984088,0.0004904686294,3922.658177,380.1048017,0.3314464659,0.002303645918,0.0007955441122,0.0007955441122
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_minmax_static,5,0.8501623667,0.002482079679,0.8522232913,0.002649123694,1724.639257,20.75541167,0.3314464659,0.002303645918,0.04983763334,0.04983763334
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_negscore_static,5,0.8341337817,0.001575503761,0.836613208,0.001788590243,2098.42561,168.7797494,0.3314464659,0.002303645918,0.06586621828,0.06586621828
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,kgcp_softmax_static,5,0.8004350796,0.002161779157,0.8033967618,0.00228237793,2030.041566,328.4679111,0.3314464659,0.002303645918,0.09956492039,0.09956492039
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,rolling_margin,5,0.9000872261,0.0003575743872,0.9001000089,0.0005136403111,3949.582807,381.0171206,0.3314464659,0.002303645918,0.0002154379696,6.410593243e-05
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,static_margin,5,0.7980841784,0.00291858381,0.801077313,0.002996701323,2066.873816,335.7236242,0.3314464659,0.002303645918,0.1019158216,0.1019158216
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,top1,5,0.2310777153,0.004196272922,0.2327457105,0.004255084456,1,0,0.3314464659,0.002303645918,0.6689222847,0.6689222847
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0,weighted,5,0.8990993642,0.0003373918009,0.8991070018,0.0004656457927,3919.785247,381.2383394,0.3314464659,0.002303645918,0.0009006358047,0.0009006358047
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,adaptive,5,0.8993936209,0.000281196385,0.899489872,0.0003211518574,4233.827436,176.4777479,0.3295368586,0.001531429981,0.0006063790657,0.0006063790657
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,kgcp_minmax_static,5,0.8531396143,0.002458550462,0.8551497164,0.002599231898,1921.448126,103.0321418,0.3295368586,0.001531429981,0.04686038569,0.04686038569
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,kgcp_negscore_static,5,0.832448111,0.002220064802,0.8347003136,0.002303678678,2327.38525,225.667291,0.3295368586,0.001531429981,0.06755188902,0.06755188902
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,kgcp_softmax_static,5,0.7996237717,0.001602426914,0.8027614242,0.001654134549,2272.36334,135.0714913,0.3295368586,0.001531429981,0.1003762283,0.1003762283
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,rolling_margin,5,0.9002059797,0.000221267308,0.9003020724,0.0002359760778,4260.092538,177.393243,0.3295368586,0.001531429981,0.0002312017235,1.26110031e-05
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,static_margin,5,0.7977310704,0.001728684073,0.8008633449,0.001787248849,2307.989642,135.8216357,0.3295368586,0.001531429981,0.1022689296,0.1022689296
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,top1,5,0.2319773002,0.002545879058,0.2335089172,0.002466624082,1,0,0.3295368586,0.001531429981,0.6680226998,0.6680226998
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,0.3,weighted,5,0.8992548999,0.0002198590042,0.8993757912,0.0002284515695,4229.435919,177.7500138,0.3295368586,0.001531429981,0.0007451000998,0.0007451000998
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,adaptive,5,0.8981915224,0.0003008171888,0.8983618391,0.0004399461633,3699.610898,75.62204818,0.3189690586,0.001532085653,0.001808477562,0.001808477562
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,kgcp_minmax_static,5,0.9025805783,0.002693271504,0.9026099425,0.002569176617,2099.683978,115.0316741,0.3189690586,0.001532085653,0.003061457146,0.0002404394238
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,kgcp_negscore_static,5,0.8985179811,0.003027657433,0.8983755487,0.002761506356,2812.19372,69.59850604,0.3189690586,0.001532085653,0.002752616851,0.002117317857
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,kgcp_softmax_static,5,0.822271738,0.007136825054,0.8187921788,0.007372959728,2547.70044,129.4386319,0.3189690586,0.001532085653,0.077728262,0.077728262
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,rolling_margin,5,0.899103534,0.0002261700989,0.899310969,0.0005450472936,3715.846362,75.55473113,0.3189690586,0.001532085653,0.000896465955,0.000896465955
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,static_margin,5,0.8222302829,0.007714383704,0.818803287,0.007996214127,2588.308364,138.0413598,0.3189690586,0.001532085653,0.07776971707,0.07776971707
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,top1,5,0.2286558193,0.001759591146,0.2315274806,0.001734455325,1,0,0.3189690586,0.001532085653,0.6713441807,0.6713441807
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0,weighted,5,0.8980723391,0.0001981689623,0.8982130855,0.0005436819159,3696.477106,73.68008976,0.3189690586,0.001532085653,0.001927660898,0.001927660898
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,adaptive,5,0.8983625246,0.000739531301,0.8984292345,0.0008888533538,3734.407944,74.41256427,0.3176252337,0.0003761701705,0.001637475386,0.001637475386
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_minmax_static,5,0.9023836667,0.004198109755,0.9026946124,0.003606809177,2158.069163,122.0836481,0.3176252337,0.0003761701705,0.002812726707,0.0002145300031
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_negscore_static,5,0.8994766297,0.003662377033,0.8997479594,0.003408246616,2875.510089,105.9776913,0.3176252337,0.0003761701705,0.002764016997,0.001643693647
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,kgcp_softmax_static,5,0.8222302829,0.004260796154,0.8187922261,0.004263167821,2593.481558,95.01888432,0.3176252337,0.0003761701705,0.07776971707,0.07776971707
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,rolling_margin,5,0.8993678101,0.0007296159105,0.8994151558,0.0008574290813,3749.894714,76.09544216,0.3176252337,0.0003761701705,0.0007627733444,0.0006974816043
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,static_margin,5,0.8221991916,0.004173572606,0.8186272299,0.004205435634,2638.054887,98.45426022,0.3176252337,0.0003761701705,0.07780080837,0.07780080837
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,top1,5,0.2278733548,0.0008858597263,0.2307896568,0.001171903735,1,0,0.3176252337,0.0003761701705,0.6721266452,0.6721266452
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.1,weighted,5,0.8983107058,0.0006689950892,0.8983963853,0.000861814946,3733.108353,72.98419787,0.3176252337,0.0003761701705,0.001689294227,0.001689294227
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,adaptive,5,0.8984195253,0.0007570695477,0.8985181995,0.0008963824454,3775.085211,93.51941451,0.3155825713,0.00122842998,0.001580474661,0.001580474661
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_minmax_static,5,0.9033889522,0.003785720137,0.9033746517,0.004096200958,2290.498839,107.4964688,0.3155825713,0.00122842998,0.003388952223,0
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_negscore_static,5,0.9007721007,0.005088922863,0.9009281789,0.005207209333,3001.869178,119.818317,0.3155825713,0.00122842998,0.004111306871,0.001669603068
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,kgcp_softmax_static,5,0.8182402321,0.005586301824,0.8144972673,0.005716090997,2599.081615,108.525983,0.3155825713,0.00122842998,0.08175976785,0.08175976785
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,rolling_margin,5,0.8992019898,0.0004298934301,0.8992392413,0.0007021077735,3790.856726,91.23940607,0.3155825713,0.00122842998,0.0007980101565,0.0007980101565
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,static_margin,5,0.819053788,0.005987834723,0.8152083855,0.00620270638,2644.733693,117.9619398,0.3155825713,0.00122842998,0.08094621204,0.08094621204
icews14_distmult_filtered,icews14,temporal_distmult,filtered,0.2,top1,5,0.2267747953,0.002018907546,0.229570603,0.002285297237,1,0,0.3155825713,0.00122842998,0.6732252047,0.6732252047
