run,dataset_mode,model_name,negative_sampling,seed,deletion_rate,baseline,coverage_gain,undercoverage_reduction,absolute_error_reduction,mean_size_change,mean_size_ratio
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,static_margin,0.1071777626,0.1069465609,0.1067153592,1889.458436,1.935411627
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,kgcp_negscore_static,0.06912931533,0.0688981136,0.06866691188,2057.20021,2.11069122
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,kgcp_minmax_static,0.04991855394,0.04968735221,0.04945615049,2289.413567,2.413247236
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.1,kgcp_softmax_static,0.1032578425,0.1030266407,0.102795439,1917.037444,1.962202563
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,static_margin,0.09775629237,0.09775629237,0.09775629237,1779.01341,1.823571323
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,kgcp_negscore_static,0.06651253218,0.06651253218,0.06651253218,1983.770779,2.014527998
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,kgcp_minmax_static,0.0454206295,0.0454206295,0.0454206295,2204.534869,2.270918897
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.2,kgcp_softmax_static,0.09479270664,0.09479270664,0.09479270664,1813.942194,1.853542796
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,static_margin,0.1008670065,0.1006305502,0.1003940938,1946.174326,1.815974483
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,kgcp_negscore_static,0.06868793022,0.06845147391,0.0682150176,2329.312679,2.163519705
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,kgcp_minmax_static,0.04384425411,0.0436077978,0.0433713415,2488.081083,2.349881085
icews05_15_distmult_filtered,icews05_15,temporal_distmult,filtered,71,0.3,kgcp_softmax_static,0.09831853292,0.09808207661,0.0978456203,1982.352152,1.843944004
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0,static_margin,0.1019441963,0.1019441963,0.1019441963,1689.884326,1.933735955
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0,kgcp_negscore_static,0.07082654616,0.07082654616,0.07082654616,1509.325122,1.758314286
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0,kgcp_minmax_static,0.04986075351,0.04986075351,0.04986075351,1849.453859,2.120718047
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0,kgcp_softmax_static,0.09982659871,0.09982659871,0.09982659871,1736.861463,1.985267442
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0.3,static_margin,0.1037412643,0.1037360097,0.1037307551,2012.029962,1.835113162
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0.3,kgcp_negscore_static,0.06781566917,0.06781041459,0.06780516,2232.218044,2.01969571
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0.3,kgcp_minmax_static,0.04381798119,0.0438127266,0.04380747202,2560.48576,2.375987971
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,17,0.3,kgcp_softmax_static,0.1018548684,0.1018496138,0.1018443592,2055.618817,1.868925749
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0,static_margin,0.09839735169,0.09839735169,0.09839735169,1727.817624,1.932471264
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0,kgcp_negscore_static,0.06666491514,0.06666491514,0.06666491514,1414.004172,1.652589776
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0,kgcp_minmax_static,0.04676054858,0.04676054858,0.04676054858,1762.963717,1.969834489
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0,kgcp_softmax_static,0.09498187168,0.09498187168,0.09498187168,1768.808528,1.976188575
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0.3,static_margin,0.1051757659,0.1051127108,0.1050496558,1943.843991,1.830438652
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0.3,kgcp_negscore_static,0.067122064,0.06705900899,0.06699595397,1954.692344,1.838961457
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0.3,kgcp_minmax_static,0.04506857233,0.04500551731,0.0449424623,2261.200415,2.117532224
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,29,0.3,kgcp_softmax_static,0.1030213862,0.1029583311,0.1028952761,1989.320961,1.866705811
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0,static_margin,0.0985287163,0.0985287163,0.0985287163,1613.483038,1.903688554
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0,kgcp_negscore_static,0.06662287846,0.06662287846,0.06662287846,1323.650455,1.637819588
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0,kgcp_minmax_static,0.04795333929,0.04795333929,0.04795333929,1672.225937,1.968452714
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0,kgcp_softmax_static,0.09455625033,0.09455625033,0.09455625033,1638.189202,1.930400599
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0.3,static_margin,0.09788765698,0.09788765698,0.09788765698,1917.4806,1.809994535
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0.3,kgcp_negscore_static,0.06634964006,0.06634964006,0.06634964006,2063.231333,1.928745394
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0.3,kgcp_minmax_static,0.04202616783,0.04202616783,0.04202616783,2260.391572,2.116592893
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,43,0.3,kgcp_softmax_static,0.09697861384,0.09697861384,0.09697861384,1972.743135,1.853257643
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0,static_margin,0.1031895329,0.1031895329,0.1031895329,1729.725411,1.97580482
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0,kgcp_negscore_static,0.06392202196,0.06392202196,0.06392202196,1408.545457,1.672723965
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0,kgcp_minmax_static,0.0456255583,0.0456255583,0.0456255583,1698.430997,1.941528329
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0,kgcp_softmax_static,0.09886500972,0.09886500972,0.09886500972,1759.486438,2.009543739
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0.3,static_margin,0.1012663549,0.1011402449,0.1010141348,1931.301676,1.792389154
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0.3,kgcp_negscore_static,0.06906100573,0.0689348957,0.06880878567,2220.36377,2.033567392
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0.3,kgcp_minmax_static,0.04146392728,0.04133781725,0.04121170721,2263.489149,2.075226807
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,59,0.3,kgcp_softmax_static,0.09951657821,0.09939046818,0.09926435815,1968.323751,1.820034936
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,0,static_margin,0.1006725868,0.1006725868,0.1006725868,1700.896001,1.943233695
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,0,kgcp_negscore_static,0.06982817508,0.06982817508,0.06982817508,1599.977116,1.840244982
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,0,kgcp_minmax_static,0.05220955283,0.05220955283,0.05220955283,1788.700914,2.042697344
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,0,kgcp_softmax_static,0.0968892859,0.0968892859,0.0968892859,1730.455746,1.975618805
icews05_15_distmult_uniform_sensitivity,icews05_15,temporal_distmult,uniform,71,0.3,static_margin,0.1026378015,0.1024433819,0.1022489622,1972.650155,1.872436004
