case,dataset_mode,model_name,deletion_rate,family,comparison,metric,left_method,right_method,observed,ci95_low,ci95_high,pvalue_positive,pvalue_negative,block_length,iterations,seed_count,timestamp_count,excluded_timestamp_count,weighting
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1158.304652,991.9534369,1327.023529,4.999750012e-05,1,3,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1158.304652,947.0331599,1382.386025,4.999750012e-05,1,7,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1158.304652,903.5753829,1427.649074,4.999750012e-05,1,14,20000,5,73,0,query_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1158.304652,889.158012,1445.573542,4.999750012e-05,1,21,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06461913152,0.05063756675,0.08012522055,4.999750012e-05,1,3,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06461913152,0.04719805748,0.08484123626,4.999750012e-05,1,7,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06461913152,0.04298957736,0.08972121122,4.999750012e-05,1,14,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,label_margin_rolling,label_margin_static,0.06461913152,0.04120166713,0.0910895947,4.999750012e-05,1,21,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07924861618,0.06528054326,0.09430132394,4.999750012e-05,1,3,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07924861618,0.06151640823,0.09942070765,4.999750012e-05,1,7,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07924861618,0.05770002659,0.1043780459,4.999750012e-05,1,14,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,full_set_coverage,label_margin_rolling,label_margin_static,0.07924861618,0.05627627032,0.1054787618,4.999750012e-05,1,21,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.07980619753,0.06597449,0.09502340527,4.999750012e-05,1,3,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.07980619753,0.06208044593,0.1005954232,4.999750012e-05,1,7,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.07980619753,0.0582774342,0.104617134,4.999750012e-05,1,14,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,label_margin_rolling,label_margin_static,0.07980619753,0.05647257052,0.1056675915,4.999750012e-05,1,21,20000,5,73,0,label_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1175.14347,997.1314017,1364.314161,4.999750012e-05,1,3,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1175.14347,959.2684346,1415.679739,4.999750012e-05,1,7,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1175.14347,918.7810249,1468.946029,4.999750012e-05,1,14,20000,5,73,0,query_count
icews14_distmult,icews14,temporal_distmult,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,label_margin_rolling,label_margin_static,1175.14347,905.8423801,1479.828829,4.999750012e-05,1,21,20000,5,73,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001363618026,-0.002317312888,-0.0003648357473,0.996100195,0.00394980251,3,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001363618026,-0.002426022739,-0.0002910048325,0.9927503625,0.007299635018,7,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001363618026,-0.002521533292,-0.00021819387,0.990100495,0.009949502525,14,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001363618026,-0.002564252582,-0.0001838063405,0.988300585,0.01174941253,21,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-47.58254154,-73.04962179,-20.72039671,0.9996500175,0.000399980001,3,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-47.58254154,-76.58051254,-17.23190832,0.9988500575,0.001199940003,7,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-47.58254154,-79.73887363,-15.17734383,0.997900105,0.002149892505,14,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-47.58254154,-81.93406887,-13.62325508,0.997500125,0.002549872506,21,20000,5,804,0,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.002184104793,-0.003916004771,-0.0005724783127,0.9947502625,0.005299735013,3,20000,5,802,0,timestamp_macro
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.002184104793,-0.004100989529,-0.0004418493548,0.9924503775,0.007599620019,7,20000,5,802,0,timestamp_macro
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.002184104793,-0.004169654109,-0.0003998224457,0.99060047,0.009449527524,14,20000,5,802,0,timestamp_macro
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,multi_minus_single_full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.002184104793,-0.004161417875,-0.000349287136,0.99060047,0.009449527524,21,20000,5,802,0,timestamp_macro
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001089280671,-0.002129909505,-8.641091315e-19,0.9750012499,0.02504874756,3,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001089280671,-0.002233863597,9.941089692e-05,0.9643517824,0.03569821509,7,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001089280671,-0.002328227929,0.0001682895099,0.9569521524,0.04309784511,14,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,full_set_coverage,query_max_margin_rolling,label_margin_rolling,-0.001089280671,-0.002398043649,0.0002074183285,0.9489525524,0.05109744513,21,20000,5,804,0,query_count
icews05_15_distmult,icews05_15,temporal_distmult,0.3,query_objective,query_max_margin_rolling-minus-label_margin_rolling,mean_set_size,query_max_margin_rolling,label_margin_rolling,-39.4058337,-69.169739,-7.971325604,0.9932503375,0.006799660017,3,20000,5,804,0,query_count
