case,dataset_mode,model_name,deletion_rate,family,comparison,metric,block_length,seed,observed,weighting
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,17,0.0997950712,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,29,0.1031317324,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,43,0.1035783721,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,59,0.1022489622,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,14,71,0.1036204088,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,17,0.0997950712,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,29,0.1031317324,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,43,0.1035783721,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,59,0.1022489622,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,label_coverage,21,71,0.1036204088,label_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,17,2034.732002,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,29,2072.105839,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,43,2056.029226,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,59,1953.451147,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,3,71,2074.299581,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,17,2034.732002,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,29,2072.105839,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,43,2056.029226,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,59,1953.451147,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,7,71,2074.299581,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,17,2034.732002,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,29,2072.105839,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,43,2056.029226,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,59,1953.451147,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,14,71,2074.299581,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,17,2034.732002,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,29,2072.105839,query_count
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,mean_set_size,21,43,2056.029226,query_count
