target_coverage,selection_tolerance,deletion_rate,method,seed_count,observed_label_coverage_mean,observed_label_coverage_sd,full_set_coverage_mean,full_set_coverage_sd,macro_time_full_set_coverage_mean,macro_time_full_set_coverage_sd,partial_answer_recall_mean,partial_answer_recall_sd,positive_label_undercoverage_mean,positive_label_undercoverage_sd,positive_full_set_undercoverage_mean,positive_full_set_undercoverage_sd,fraction_timestamps_label_below_target_mean,fraction_timestamps_label_below_target_sd,fraction_timestamps_full_set_below_target_mean,fraction_timestamps_full_set_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd,full_vocabulary_set_rate_mean,full_vocabulary_set_rate_sd,pool_score_count_mean_mean,pool_score_count_mean_sd,pool_span_blocks_mean_mean,pool_span_blocks_mean_sd
0.88,0.03,0.2,adaptive_mass_rolling,5,0.8798631983,0.001034009889,0.8667177011,0.001256665224,0.868959985,0.001482599909,0.8750991713,0.001168640387,0.01036064031,0.001249135512,0.01873210073,0.001562474085,0.4904109589,0.02031835202,0.6493150685,0.01225242727,2394.841827,76.69306018,1923.473283,93.74380786,4125.508774,42.91881955,0,0,1000,0,2.424657534,0
0.88,0.03,0.3,margin_rolling,5,0.8794797388,0.0008103893576,0.8822164645,0.001459075165,0.8818683117,0.00134388028,0.8990611118,0.001109301013,0.009300953596,0.000631340838,0.007753146797,0.0007675443997,0.5205479452,0.05216282949,0.4657534247,0.05393156078,3737.942404,79.19637538,4340.171352,404.3197095,7128,0,0.3238723354,0.02589468456,1000,0,2.424657534,0
0.88,0.03,0.3,rank_rolling,5,0.8789252772,0.001055630054,0.865604758,0.001133763461,0.8678131155,0.001027102205,0.8716848372,0.001235247529,0.01087499817,0.001641761661,0.0192945456,0.001708149522,0.498630137,0.03001219493,0.6547945205,0.01786082851,2908.05434,165.291566,2908.05434,165.291566,2908.05434,165.291566,0,0,1000,0,2.424657534,0
0.88,0.03,0.3,adaptive_mass_rolling,5,0.8793968287,0.0005633139463,0.8662642798,0.0006766753655,0.8682458402,0.0005847495093,0.8741456921,0.0007790222369,0.01028898126,0.001107212455,0.01857792635,0.001135545311,0.4794520548,0.02562779032,0.6821917808,0.02031835202,2545.053586,156.7669846,2048.571705,159.2773275,4212.531548,78.76357685,0,0,1000,0,2.424657534,0
0.9,0,0,margin_rolling,5,0.8986423464,0.0005614039973,0.8978212225,0.003647159094,0.8977428758,0.00380895559,0.9134439061,0.003740349152,0.008627575296,0.0007957778841,0.009455762727,0.002351247963,0.5698630137,0.02292219251,0.5232876712,0.05681216809,3758.959675,190.9825483,4340.311654,929.958645,7128,0,0.300170769,0.04183572348,1000,0,2.424657534,0
0.9,0,0,rank_rolling,5,0.899103534,0.0007583541814,0.8878577317,0.0008181747387,0.8902702121,0.0005743425361,0.8929176084,0.001169484561,0.009638763523,0.0004663155913,0.01684716761,0.0005375689694,0.4904109589,0.01500609747,0.6630136986,0.01225242727,3452.377729,211.1359321,3452.377729,211.1359321,3452.377729,211.1359321,0,0,1000,0,2.424657534,0
0.9,0,0,adaptive_mass_rolling,5,0.8993367188,0.000666481762,0.8880167236,0.0008229815137,0.8901306015,0.0005976599126,0.8942437044,0.0006787968829,0.009350989551,0.0006625835915,0.01676472783,0.0007924515741,0.498630137,0.02840608405,0.6520547945,0.02077500122,3158.668131,261.2116821,2868.876204,355.2896653,4259.550485,491.4204868,0,0,1000,0,2.424657534,0
0.9,0,0.1,margin_rolling,5,0.898388434,0.0005756907692,0.898056766,0.002284305378,0.8981516676,0.002309928416,0.9139248523,0.002011206885,0.00843328384,0.0007594232464,0.008893606642,0.001801549139,0.5452054795,0.03410931397,0.5260273973,0.04604859264,3810.925798,124.6504226,4602.643511,655.7614565,7128,0,0.3084442351,0.01825933518,1000,0,2.424657534,0
0.9,0,0.1,rank_rolling,5,0.8983780703,0.0004555934219,0.8870274408,0.0007781518835,0.8896147861,0.0009650166438,0.8919065098,0.0007522783862,0.01030752163,0.0007575631326,0.01747518797,0.001198448765,0.495890411,0.03123768288,0.6465753425,0.0327050312,3417.332464,68.630231,3417.332464,68.630231,3417.332464,68.630231,0,0,1000,0,2.424657534,0
0.9,0,0.1,adaptive_mass_rolling,5,0.8986475282,0.0003693342249,0.8874219762,0.0002537906247,0.8896609675,0.0002716381185,0.893529643,0.00078576286,0.01013296146,0.0007002567478,0.0171417223,0.0008060391485,0.498630137,0.02840608405,0.6520547945,0.03299067008,3106.754564,207.0873335,2800.645542,360.5326426,4258.597802,388.2469753,0,0,1000,0,2.424657534,0
0.9,0,0.2,margin_rolling,5,0.898346979,0.000939301371,0.8996643505,0.002172741323,0.8997349114,0.002265303318,0.9151796929,0.001718045386,0.00847099812,0.000717998465,0.007873728729,0.001179605232,0.5397260274,0.05530583353,0.5095890411,0.06232500365,3943.020575,108.4819514,5227.643617,495.0180728,7128,0,0.3288717466,0.02743514376,1000,0,2.424657534,0
0.9,0,0.2,rank_rolling,5,0.8990828065,0.0005230238687,0.8878695089,0.0007456101093,0.8899143783,0.0008684558551,0.8927497159,0.0006273483148,0.01012463905,0.000472610574,0.01714820449,0.0005610751284,0.4821917808,0.01786082851,0.6273972603,0.03545802495,3502.810629,81.84731645,3502.810629,81.84731645,3502.810629,81.84731645,0,0,1000,0,2.424657534,0
0.9,0,0.2,adaptive_mass_rolling,5,0.8993574464,0.001122299686,0.8882169356,0.001309896495,0.8900871826,0.001264799517,0.8940648058,0.001294129289,0.009780642345,0.0007501309041,0.01690046902,0.0007161514653,0.504109589,0.02450485455,0.6438356164,0.02165943603,3252.792616,198.3773261,2987.680733,361.6443162,4220.489458,428.1045238,0,0,1000,0,2.424657534,0
0.9,0,0.3,margin_rolling,5,0.8997823609,0.000453969724,0.9019785655,0.001500492624,0.9016570838,0.001581539853,0.9174103677,0.001192151307,0.008501638659,0.0007700849678,0.007258464284,0.001006953384,0.5178082192,0.05513592273,0.4630136986,0.06738835001,4069.435473,84.54812469,5746.219426,282.0609918,7128,0,0.3647096926,0.02806946162,1000,0,2.424657534,0
0.9,0,0.3,rank_rolling,5,0.8991812623,0.001385899731,0.8880520551,0.001604221469,0.8898856594,0.001526385351,0.8925682796,0.001641165765,0.009951104667,0.001452625917,0.01682894809,0.001776613518,0.4876712329,0.02077500122,0.6164383562,0.03212613534,3668.160876,186.0276626,3668.160876,186.0276626,3668.160876,186.0276626,0,0,1000,0,2.424657534,0
0.9,0,0.3,adaptive_mass_rolling,5,0.898880713,0.001379710101,0.8876751855,0.001591962073,0.8891269884,0.001444060685,0.8931447723,0.001806730095,0.01034764441,0.001550872089,0.01738932247,0.00179787974,0.4876712329,0.03153661489,0.6410958904,0.0426641411,3424.213932,269.8313688,3148.85941,404.7287593,4337.293618,410.6630613,0,0,1000,0,2.424657534,0
0.9,0.01,0,margin_rolling,5,0.8986423464,0.0005614039973,0.8978212225,0.003647159094,0.8977428758,0.00380895559,0.9134439061,0.003740349152,0.008627575296,0.0007957778841,0.009455762727,0.002351247963,0.5698630137,0.02292219251,0.5232876712,0.05681216809,3758.959675,190.9825483,4340.311654,929.958645,7128,0,0.300170769,0.04183572348,1000,0,2.424657534,0
0.9,0.01,0,rank_rolling,5,0.899103534,0.0007583541814,0.8878577317,0.0008181747387,0.8902702121,0.0005743425361,0.8929176084,0.001169484561,0.009638763523,0.0004663155913,0.01684716761,0.0005375689694,0.4904109589,0.01500609747,0.6630136986,0.01225242727,3452.377729,211.1359321,3452.377729,211.1359321,3452.377729,211.1359321,0,0,1000,0,2.424657534,0
0.9,0.01,0,adaptive_mass_rolling,5,0.8990568971,0.0002661239323,0.8877164056,0.0004370070229,0.8897941516,0.0004194700723,0.8942200519,0.0006688430019,0.009410180085,0.0006947911519,0.01687025585,0.0008185986668,0.498630137,0.02840608405,0.6520547945,0.02077500122,3090.037328,254.94383,2733.42465,277.0631971,4448.534981,156.2393353,0,0,1000,0,2.424657534,0
