seed,deletion_rate,method,query_count,coverage,mean_size,median_size,p90_size,mrr,frequency_mrr,hits_at_1,hits_at_3,hits_at_10
71,0.0,top1,38596,0.22652606487718935,1.0,1.0,1.0,0.31633446478474136,0.09261339150592005,0.2341434345528034,0.34809306663902995,0.4790910975230594
17,0.0,weighted,38596,0.8980723391024976,3630.5516633848065,3801.6067468131414,7128.0,0.31959823706192536,0.09261339150592005,0.23893667737589389,0.35102083117421495,0.48051611565965385
29,0.0,weighted,38596,0.8980464296818323,3684.84306663903,3934.508653746502,7128.0,0.31954410677798833,0.09261339150592005,0.2381334853352679,0.35151311016685666,0.4821743185822365
43,0.0,weighted,38596,0.8962068608145922,3205.8825266867034,1748.6099854907245,7128.0,0.3163375420848188,0.09261339150592005,0.23264068815421288,0.35319722251010466,0.4800497460876775
59,0.0,weighted,38596,0.8980464296818323,3473.0026168514873,2788.1862887345837,7128.0,0.3196405224178217,0.09261339150592005,0.2357757280547207,0.35472587832936053,0.48564618095139395
71,0.0,weighted,38596,0.8982537050471552,3464.549227899264,2767.3408384288527,7128.0,0.31633446478474136,0.09261339150592005,0.2341434345528034,0.34809306663902995,0.4790910975230594
17,0.1,adaptive,38596,0.8971914187998756,3634.842833454244,3810.41276298062,7128.0,0.3165886541032402,0.09263799755415918,0.2353093584827443,0.34848170794901023,0.4752046844232563
29,0.1,adaptive,38596,0.8978132448958441,3621.035392268629,3683.2814540366876,7128.0,0.3188876069547021,0.09272685218263932,0.23821121359726397,0.3513317442221992,0.4806974816043113
43,0.1,adaptive,38596,0.8977614260545134,3594.6133796248314,3526.229117006944,7128.0,0.31981632960323775,0.09267629816441308,0.23852212664524822,0.35216084568349054,0.4796092859363665
59,0.1,adaptive,38596,0.896414136179915,3347.016582029226,2071.558322105918,7128.0,0.31739664767387554,0.09179366355956312,0.2347134418074412,0.3489480775209866,0.4811638511762877
71,0.1,adaptive,38596,0.8974505130065292,3497.6681780495387,2969.6609234117527,7128.0,0.31401026922679054,0.09277216064021493,0.23051611565965385,0.3490776246243134,0.4767333402425122
17,0.1,rolling,38596,0.8979168825785055,3650.636413099803,3927.7262669706706,7128.0,0.3165886541032402,0.09263799755415918,0.2353093584827443,0.34848170794901023,0.4752046844232563
29,0.1,rolling,38596,0.8990309876671158,3639.1524251217743,3819.8066898124157,7128.0,0.3188876069547021,0.09272685218263932,0.23821121359726397,0.3513317442221992,0.4806974816043113
43,0.1,rolling,38596,0.8986682557778009,3611.08568245414,3595.2651570110893,7128.0,0.31981632960323775,0.09267629816441308,0.23852212664524822,0.35216084568349054,0.4796092859363665
59,0.1,rolling,38596,0.897657788371852,3365.5975230593845,2152.5206238988494,7128.0,0.31739664767387554,0.09179366355956312,0.2347134418074412,0.3489480775209866,0.4811638511762877
71,0.1,rolling,38596,0.8986682557778009,3517.7216291843715,3085.7541455073065,7128.0,0.31401026922679054,0.09277216064021493,0.23051611565965385,0.3490776246243134,0.4767333402425122
17,0.1,static,38596,0.8197481604311327,2544.7711161778425,492.841822986838,7127.994051197014,0.3165886541032402,0.09263799755415918,0.2353093584827443,0.34848170794901023,0.4752046844232563
29,0.1,static,38596,0.8222613742356721,2609.8362783708158,550.564566276298,7127.994051197014,0.3188876069547021,0.09272685218263932,0.23821121359726397,0.3513317442221992,0.4806974816043113
43,0.1,static,38596,0.818374961135869,2499.3407347911702,427.47896155041974,7127.983003420043,0.31981632960323775,0.09267629816441308,0.23852212664524822,0.35216084568349054,0.4796092859363665
59,0.1,static,38596,0.8172608560472587,2343.599492175355,321.51583065602654,7127.93699865271,0.31739664767387554,0.09179366355956312,0.2347134418074412,0.3489480775209866,0.4811638511762877
71,0.1,static,38596,0.8211731785677272,2498.662581614675,463.94776660793866,7127.98948077521,0.31401026922679054,0.09277216064021493,0.23051611565965385,0.3490776246243134,0.4767333402425122
17,0.1,top1,38596,0.22714789097315785,1.0,1.0,1.0,0.3165886541032402,0.09263799755415918,0.2353093584827443,0.34848170794901023,0.4752046844232563
29,0.1,top1,38596,0.22932428230904758,1.0,1.0,1.0,0.3188876069547021,0.09272685218263932,0.23821121359726397,0.3513317442221992,0.4806974816043113
43,0.1,top1,38596,0.22994610840501606,1.0,1.0,1.0,0.31981632960323775,0.09267629816441308,0.23852212664524822,0.35216084568349054,0.4796092859363665
59,0.1,top1,38596,0.2262151518292051,1.0,1.0,1.0,0.31739664767387554,0.09179366355956312,0.2347134418074412,0.3489480775209866,0.4811638511762877
71,0.1,top1,38596,0.22305420250803193,1.0,1.0,1.0,0.31401026922679054,0.09277216064021493,0.23051611565965385,0.3490776246243134,0.4767333402425122
17,0.1,weighted,38596,0.8971914187998756,3634.781298580164,3810.007954192144,7128.0,0.3165886541032402,0.09263799755415918,0.2353093584827443,0.34848170794901023,0.4752046844232563
29,0.1,weighted,38596,0.8977614260545134,3621.21807959374,3682.9970204166234,7128.0,0.3188876069547021,0.09272685218263932,0.23821121359726397,0.3513317442221992,0.4806974816043113
43,0.1,weighted,38596,0.8977096072131827,3593.5317649497356,3524.8521608456836,7128.0,0.31981632960323775,0.09267629816441308,0.23852212664524822,0.35216084568349054,0.4796092859363665
59,0.1,weighted,38596,0.896414136179915,3347.016582029226,2071.558322105918,7128.0,0.31739664767387554,0.09179366355956312,0.2347134418074412,0.3489480775209866,0.4811638511762877
71,0.1,weighted,38596,0.8973468753238678,3496.7440667426677,2969.0636853559954,7128.0,0.31401026922679054,0.09277216064021493,0.23051611565965385,0.3490776246243134,0.4767333402425122
17,0.2,adaptive,38596,0.8979687014198362,3722.736138459944,4293.1802259301485,7128.0,0.31538914368557935,0.09265476793033643,0.2350502642760908,0.34703078039175045,0.4710591771167997
29,0.2,adaptive,38596,0.8982537050471552,3824.4875116592393,4847.324645040937,7128.0,0.3146627688498959,0.09273853014598757,0.2341952533941341,0.3503730956575811,0.47080008291014613
43,0.2,adaptive,38596,0.8975023318478599,3587.5450046636956,3379.6842159809307,7128.0,0.3166257612085357,0.09179766623392144,0.23502435485542544,0.349414447092963,0.4778992641724531
59,0.2,adaptive,38596,0.8964659550212457,3624.101590838429,3730.8748315887656,7128.0,0.31354578494208185,0.09266353402003914,0.23085293812830346,0.3473157840190693,0.47815835837910664
71,0.2,adaptive,38596,0.8970359622758836,3580.78777593533,3349.974919680796,7128.0,0.3125774644257874,0.09272035791368033,0.23095657581096488,0.3463830448751166,0.4721732822054099
17,0.2,rolling,38596,0.8987978028811275,3735.315654471966,4364.345502124573,7128.0,0.31538914368557935,0.09265476793033643,0.2350502642760908,0.34703078039175045,0.4710591771167997
29,0.2,rolling,38596,0.8996009949217536,3844.1263343351643,4927.059773033475,7128.0,0.3146627688498959,0.09273853014598757,0.2341952533941341,0.3503730956575811,0.47080008291014613
43,0.2,rolling,38596,0.8983573427298166,3602.1055031609494,3476.6015131101667,7128.0,0.3166257612085357,0.09179766623392144,0.23502435485542544,0.349414447092963,0.4778992641724531
59,0.2,rolling,38596,0.8971136905378796,3634.897424603586,3779.9699191626073,7128.0,0.31354578494208185,0.09266353402003914,0.23085293812830346,0.3473157840190693,0.47815835837910664
71,0.2,rolling,38596,0.8978650637371748,3598.8950668463053,3458.540651881024,7128.0,0.3125774644257874,0.09272035791368033,0.23095657581096488,0.3463830448751166,0.4721732822054099
17,0.2,static,38596,0.8194631568038139,2613.015260648772,541.6492641724531,7128.0,0.31538914368557935,0.09265476793033643,0.2350502642760908,0.34703078039175045,0.4710591771167997
29,0.2,static,38596,0.8264068815421287,2811.5262721525546,880.3482226137423,7128.0,0.3146627688498959,0.09273853014598757,0.2341952533941341,0.3503730956575811,0.47080008291014613
43,0.2,static,38596,0.8092548450616645,2425.684552803399,360.85060628044357,7127.975722872837,0.3166257612085357,0.09179766623392144,0.23502435485542544,0.349414447092963,0.4778992641724531
