deletion_rate,method,cap_label,cap_size,cap_rank,seed_count,query_count_mean,query_count_sd,label_count_mean,label_count_sd,answered_count_mean,answered_count_sd,answer_rate_mean,answer_rate_sd,abstention_rate_mean,abstention_rate_sd,label_answer_rate_mean,label_answer_rate_sd,conditional_full_set_coverage_mean,conditional_full_set_coverage_sd,unconditional_full_set_recall_mean,unconditional_full_set_recall_sd,conditional_partial_answer_recall_mean,conditional_partial_answer_recall_sd,unconditional_partial_answer_recall_mean,unconditional_partial_answer_recall_sd,conditional_label_recall_mean,conditional_label_recall_sd,unconditional_label_recall_mean,unconditional_label_recall_sd,candidate_load_mean,candidate_load_sd,mean_answered_set_size_mean,mean_answered_set_size_sd,median_answered_set_size_mean,median_answered_set_size_sd,p90_answered_set_size_mean,p90_answered_set_size_sd,top1_accuracy_on_answered_mean,top1_accuracy_on_answered_sd,full_vocabulary_answered_rate_mean,full_vocabulary_answered_rate_sd,candidate_load_saved_vs_uncapped_mean,candidate_load_saved_vs_uncapped_sd,candidate_load_reduction_vs_uncapped_mean,candidate_load_reduction_vs_uncapped_sd,unconditional_full_set_recall_loss_vs_uncapped_mean,unconditional_full_set_recall_loss_vs_uncapped_sd,conditional_full_set_coverage_delta_vs_uncapped_mean,conditional_full_set_coverage_delta_vs_uncapped_sd
0,rolling,3000,3000,3000,5,33964,0,38596,0,16085.2,1035.568298,0.4735955718,0.03049017483,0.5264044282,0.03049017483,0.5102601306,0.02974606865,0.7900633041,0.008631079799,0.374378754,0.0283157405,0.8226213312,0.006433074916,0.3897446952,0.02820527277,0.8059904255,0.01245446697,0.4115607835,0.03056883774,179.822989,28.32556888,378.0346068,34.07535616,131.4,33.75351834,1199.6,78.21077292,0.3382258045,0.007912007705,0,0,3579.136739,218.329877,0.9517528659,0.01035988831,0.5234424685,0.03186446,-0.1077579184,0.01210845447
0,rolling,4000,4000,4000,5,33964,0,38596,0,16368.8,968.9565006,0.4819455894,0.0285289277,0.5180544106,0.0285289277,0.5184164162,0.02773904734,0.7928056113,0.00773274169,0.3822635732,0.02641899235,0.8249180478,0.005764450322,0.3976942889,0.02631918923,0.8083267774,0.01162176118,0.4193077003,0.02861818723,210.7966553,20.08501824,436.6692494,15.90792011,137.4,31.48491702,1345.1,34.58287148,0.3358798521,0.007562397773,0,0,3548.163073,210.9338748,0.943579884,0.00843539525,0.5155576493,0.02994668002,-0.1050156112,0.01118338488
0,rolling,5000,5000,5000,5,33964,0,38596,0,17194.4,987.7136731,0.5062536804,0.029081194,0.4937463196,0.029081194,0.5415898021,0.02800204555,0.8009664654,0.006574138619,0.4056412672,0.02662093929,0.8316852847,0.004829111783,0.421149516,0.0265310277,0.8150648505,0.01033937162,0.4416623484,0.02856082418,320.339854,23.61209244,632.3172435,12.05885121,155.8,30.24400767,1841.56,33.39600275,0.3289703092,0.007795400368,0,0,3438.619874,214.3040422,0.9143395968,0.01085995559,0.4921799552,0.03012123956,-0.09685475702,0.009928969455
0,rolling,inf,inf,1000000000000,5,33964,0,38596,0,33964,0,1,0,0,0,1,0,0.8978212225,0.003647159094,0.8978212225,0.003647159094,0.9134439061,0.003740349152,0.9134439061,0.003740349152,0.8986423464,0.0005614039973,0.8986423464,0.0005614039973,3758.959728,190.9824908,3758.959728,190.9824908,4557.6,1575.537345,7128,0,0.2588505476,0.00275803505,0.300170769,0.04183572348,0,0,0,0,0,0,0,0
0,weighted,1,1,1,5,33964,0,38596,0,459.6,91.45654706,0.01353197503,0.00269274959,0.986468025,0.00269274959,0.01648357343,0.004762028877,0.4978973665,0.06384905777,0.006618772818,0.0007664783824,0.5679577849,0.05105556127,0.007593072403,0.001054950967,0.4918511613,0.07139356422,0.007855736346,0.001397716591,0.01353197503,0.00269274959,1,0,1,0,1,0,0.6624507066,0.02498181797,0,0,3741.064027,194.8037692,0.9999963943,6.435368271e-07,0.8902838299,0.003646564825,-0.3990052363,0.06750609801
0,weighted,10,10,10,5,33964,0,38596,0,2434.8,507.3442618,0.0716876693,0.01493770645,0.9283123307,0.01493770645,0.08153176495,0.01987752787,0.6644002281,0.04027993987,0.04716758921,0.007805045064,0.7192216891,0.03358476071,0.0511750005,0.008955227044,0.6712943302,0.04840752223,0.05399523267,0.01050958411,0.3011836062,0.06825982369,4.191160286,0.1537733157,3.4,0.5477225575,8.8,0.4472135955,0.6489834405,0.02567358493,0,0,3740.776375,194.7375587,0.999920095,1.465433938e-05,0.8497350135,0.004168105421,-0.2325023747,0.04417407943
0,weighted,50,50,50,5,33964,0,38596,0,5347,744.3443424,0.157431398,0.0219156855,0.842568602,0.0219156855,0.1733806612,0.02899870399,0.7116368194,0.03395971035,0.1114474149,0.01129153815,0.7556393624,0.02682500156,0.11850325,0.01320205956,0.7256915607,0.03771857609,0.1249714996,0.01608086723,2.639924626,0.2471289995,16.87916193,1.04355678,12.8,1.923538406,40,1,0.5211066254,0.0228372282,0,0,3738.437634,194.5964745,0.9992952249,4.182545265e-05,0.7854551878,0.007640837086,-0.1852657833,0.03786198246
0,weighted,100,100,100,5,33964,0,38596,0,7205.6,526.6980159,0.2121540455,0.01550753786,0.7878459545,0.01550753786,0.2327028708,0.02208952177,0.7333806675,0.02671310183,0.1552702862,0.006583035714,0.774431865,0.02049274856,0.1640567913,0.008353767909,0.7501615275,0.03070882956,0.1740491243,0.01082431905,6.662154045,0.293197817,31.62886583,3.934596414,22.6,5.458937626,78,4.527692569,0.47245677,0.008774543033,0,0,3734.415405,195.0651572,0.9982121796,0.000172892085,0.7416323166,0.003591399033,-0.1635219352,0.03061128159
0,weighted,250,250,250,5,33964,0,38596,0,10122.8,176.7291713,0.2980449888,0.005203426314,0.7019550112,0.005203426314,0.3256347808,0.00356145698,0.757318391,0.01966159045,0.2257920151,0.009744042882,0.7949918541,0.01597837204,0.237007058,0.008868083559,0.7747337828,0.02478971539,0.2523473935,0.01079539572,20.8770875,3.783219868,69.90203608,11.37742438,45.8,16.51363073,181.6,11.41490254,0.4165837533,0.001630555218,0,0,3720.200471,198.3843752,0.9943652675,0.001358663639,0.6711105877,0.01368182388,-0.1395842118,0.02356551697
0,weighted,500,500,500,5,33964,0,38596,0,12245.8,563.1382601,0.3605523495,0.01658044577,0.6394476505,0.01658044577,0.3941755622,0.01536664128,0.7642774027,0.01607108714,0.2757684607,0.0185870948,0.801742605,0.01261991917,0.2892351922,0.01798078178,0.7826205946,0.01985498647,0.3087262929,0.0199630077,43.29253327,7.770773892,119.5148703,15.42535227,68.4,23.43715,331.4,16.00937226,0.3824211143,0.004785900754,0,0,3697.785025,202.3311596,0.9883144775,0.002795425062,0.621134142,0.0225207253,-0.1326252001,0.01994539178
