seed,deletion_rate,method,query_count,label_count,cap_size,cap_label,cap_rank,answered_count,answer_rate,abstention_rate,answered_label_count,label_answer_rate,conditional_full_set_coverage,unconditional_full_set_recall,conditional_partial_answer_recall,unconditional_partial_answer_recall,conditional_label_recall,unconditional_label_recall,candidate_load,mean_answered_set_size,top1_accuracy_on_answered,full_vocabulary_answered_rate,median_answered_set_size,p90_answered_set_size,candidate_load_saved_vs_uncapped,candidate_load_reduction_vs_uncapped,unconditional_full_set_recall_loss_vs_uncapped,conditional_full_set_coverage_delta_vs_uncapped
17,0,weighted,33964,38596,100,100,100,7594,0.2235896832,0.7764103168,9588,0.2484195253,0.7243876745,0.1619656106,0.7679010894,0.1716947613,0.7409261577,0.1840605244,6.664409375,29.80642613,0.4656307611,0,20,74,3881.729154,0.9982860764,0.7370451066,-0.1746230428
17,0,weighted,33964,38596,250,250,250,10033,0.2954010128,0.7045989872,12517,0.3243082185,0.7449416924,0.2200565304,0.7851181973,0.2319247107,0.7615243269,0.2469685978,18.62324815,63.04395495,0.4176218479,0,38,176,3869.770316,0.9952105547,0.6789541868,-0.1540690248
17,0,weighted,33964,38596,500,500,500,11991,0.3530502885,0.6469497115,15101,0.3912581615,0.7516470686,0.2653692145,0.7935644524,0.2801681589,0.7703463347,0.3014042906,38.9839536,110.4203986,0.3862063214,0,54,319,3849.40961,0.9899742778,0.6336415028,-0.1473636486
17,0,weighted,33964,38596,1000,1000,1000,13554,0.3990696031,0.6009303969,16921,0.4384133071,0.7647926811,0.3052055117,0.8037330689,0.3207454368,0.7821641747,0.3429111825,72.25503474,181.0587281,0.3638040431,0,73,546,3816.138529,0.9814177671,0.5938052055,-0.1342180361
17,0,weighted,33964,38596,2000,2000,2000,15029,0.442497939,0.557502061,18540,0.4803606591,0.7786945239,0.3445707219,0.8145805675,0.3604502223,0.7934196332,0.381127578,135.4094924,306.0115776,0.3476611884,0,98,985,3752.984071,0.9651759807,0.5544399953,-0.1203161933
17,0,weighted,33964,38596,3000,3000,3000,15396,0.4533034978,0.5466965022,18927,0.4903876049,0.7815016888,0.3542574491,0.8166622077,0.3701958353,0.7956358641,0.3901699658,159.6028736,352.0883346,0.3439204988,0,105,1158,3728.79069,0.9589540331,0.5447532682,-0.1175090285
17,0,weighted,33964,38596,4000,4000,4000,15699,0.4622247085,0.5377752915,19265,0.4991449891,0.785018154,0.3628547874,0.819606218,0.3788422452,0.7986504023,0.3986423464,192.8043517,417.1225556,0.3413593222,0,112,1322.2,3695.589212,0.9504154226,0.5361559298,-0.1139925632
17,0,weighted,33964,38596,5000,5000,5000,16480,0.4852196443,0.5147803557,20130,0.521556638,0.79375,0.3851430927,0.826820268,0.4011894363,0.8061102832,0.4204321691,296.0575609,610.1516383,0.3338592233,0,130,1833.1,3592.336003,0.9238612152,0.5138676245,-0.1052607172
17,0,weighted,33964,38596,inf,inf,1000000000000,33964,1,0,38596,1,0.8990107172,0.8990107172,0.9151159468,0.9151159468,0.8980723391,0.8980723391,3888.393564,3888.393564,0.2616005182,0.3307619833,5604,7128,0,0,0,0
29,0,adaptive,33964,38596,1,1,1,490,0.0144270404,0.9855729596,731,0.01893978651,0.4408163265,0.00635967495,0.5172675737,0.007462640181,0.4213406293,0.007980101565,0.0144270404,1,0.6285714286,0,1,1,3942.591891,0.9999963407,0.894270404,-0.4598137524
29,0,adaptive,33964,38596,10,10,10,2846,0.08379460605,0.9162053939,3842,0.0995439942,0.6212227688,0.05205511718,0.6812980346,0.05708910041,0.6197293077,0.0616903306,0.3680073018,4.391777934,0.6194659171,0,4,9,3942.238311,0.9999066589,0.8485749617,-0.2794073101
29,0,adaptive,33964,38596,50,50,50,5790,0.1704746202,0.8295253798,7387,0.1913928905,0.6829015544,0.1164173831,0.73162109,0.1247228274,0.6910789224,0.1322675925,2.689789189,15.77823834,0.5077720207,0,11,39,3939.916529,0.9993177637,0.7842126958,-0.2177285245
29,0,adaptive,33964,38596,100,100,100,7469,0.2199093157,0.7800906843,9434,0.2444294746,0.7102691123,0.1561947945,0.7558085058,0.1662093314,0.7215391138,0.1763654265,6.300671299,28.65122506,0.4671308073,0,18,74,3936.305647,0.998401902,0.7444352844,-0.1903609666
29,0,adaptive,33964,38596,250,250,250,9902,0.2915439878,0.7084560122,12390,0.321017722,0.7421732983,0.216376163,0.782017141,0.2279923958,0.7531880549,0.2417867136,18.2742021,62.68077156,0.4186023026,0,34.5,177,3924.332116,0.9953649437,0.6842539159,-0.1584567806
