seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
59,0.1,aps_rolling,73,38596,33964,0.8966991398,0.898156872,0.8975191554,0.9105612567,0.01085014395,0.01010499068,0.602739726,0.5753424658,4639.038217,6542.073166,7126.866647,0,1000,2.424657534
71,0.1,margin_rolling,73,38596,33964,0.8986682558,0.8983629726,0.8986431857,0.9136199561,0.00767182444,0.008190822124,0.5753424658,0.5753424658,3770.629255,4379.662761,7128,0.3049110823,1000,2.424657534
71,0.1,rank_rolling,73,38596,33964,0.8987200746,0.8874985279,0.8909166495,0.892512567,0.009351235397,0.01633311373,0.4931506849,0.6575342466,3465.978036,3465.978036,3465.978036,0,1000,2.424657534
71,0.1,adaptive_mass_rolling,73,38596,33964,0.898745984,0.8876162996,0.8900106795,0.8940362391,0.009039077585,0.01592332839,0.4657534247,0.6712328767,3109.948946,2750.497821,4466.890107,0,1000,2.424657534
71,0.1,aps_rolling,73,38596,33964,0.8978132449,0.9025733129,0.9021133231,0.9145846536,0.009211664691,0.007438715263,0.5342465753,0.4794520548,4739.316953,6735.695236,7126.969792,0,1000,2.424657534
17,0.2,margin_rolling,73,38596,33964,0.8987978029,0.9001295489,0.900552002,0.9157427893,0.007887948438,0.00736940609,0.4520547945,0.4657534247,3997.587269,5538.714138,7128,0.3375927453,1000,2.424657534
17,0.2,rank_rolling,73,38596,33964,0.8986682558,0.8873218702,0.8899900781,0.8921470072,0.009957556344,0.01726308737,0.4657534247,0.6438356164,3462.361471,3462.361471,3462.361471,0,1000,2.424657534
17,0.2,adaptive_mass_rolling,73,38596,33964,0.8975800601,0.8862913673,0.8890707685,0.8925385983,0.01035164338,0.01757451575,0.4794520548,0.6301369863,3042.839565,2648.163938,4471.320793,0,1000,2.424657534
17,0.2,aps_rolling,73,38596,33964,0.8968027775,0.9028971853,0.9033082267,0.9147108376,0.01022274323,0.006732486122,0.5068493151,0.4246575342,4857.103786,6875.12051,7126.964786,0,1000,2.424657534
29,0.2,margin_rolling,73,38596,33964,0.8996009949,0.9032799435,0.903348088,0.9179024433,0.008586639189,0.006342113606,0.5205479452,0.4246575342,4108.186933,5937.889913,7128,0.3727770581,1000,2.424657534
29,0.2,rank_rolling,73,38596,33964,0.8993678101,0.888411259,0.8902753999,0.8927421752,0.009440209767,0.01648000282,0.4794520548,0.6301369863,3404.5782,3404.5782,3404.5782,0,1000,2.424657534
29,0.2,adaptive_mass_rolling,73,38596,33964,0.9001710022,0.8892062183,0.8907724987,0.8949189899,0.008917464122,0.01618912791,0.5205479452,0.6712328767,3094.700035,2697.673566,4527.854346,0,1000,2.424657534
29,0.2,aps_rolling,73,38596,33964,0.8992123536,0.9068425392,0.9069889789,0.9177668161,0.0091730353,0.005122381197,0.5479452055,0.397260274,4945.866476,6969.760187,7127,0,1000,2.424657534
43,0.2,margin_rolling,73,38596,33964,0.8983573427,0.8983040867,0.8979771495,0.9143335206,0.007834249232,0.007949289998,0.5753424658,0.5479452055,3861.156901,4832.955953,7128,0.3068248734,1000,2.424657534
43,0.2,rank_rolling,73,38596,33964,0.8986423464,0.8871452126,0.8884040695,0.8922469029,0.01068171067,0.01801077537,0.4931506849,0.6712328767,3610.322371,3610.322371,3610.322371,0,1000,2.424657534
43,0.2,adaptive_mass_rolling,73,38596,33964,0.8993937196,0.8878812861,0.8883367644,0.8945649736,0.01053884904,0.01766768892,0.4657534247,0.6575342466,3214.272612,2843.272377,4585.658109,0,1000,2.424657534
43,0.2,aps_rolling,73,38596,33964,0.8968286869,0.9006889648,0.8998519547,0.9135479989,0.01028299088,0.008599013272,0.5616438356,0.4657534247,4793.459045,6770.000206,7126.949959,0,1000,2.424657534
59,0.2,margin_rolling,73,38596,33964,0.8971136905,0.8984513014,0.8981314087,0.9143981816,0.009612032028,0.009574486298,0.5890410959,0.5753424658,3891.553586,5030.187787,7128,0.3187492639,1000,2.424657534
59,0.2,rank_rolling,73,38596,33964,0.8998600891,0.888882346,0.8905594945,0.893717753,0.01041917961,0.01705555704,0.5068493151,0.5753424658,3476.768431,3476.768431,3476.768431,0,1000,2.424657534
59,0.2,adaptive_mass_rolling,73,38596,33964,0.8996787232,0.8886468025,0.8899911585,0.8948886005,0.01032996587,0.01722085718,0.5205479452,0.6575342466,3097.072842,2710.862207,4521.588647,0,1000,2.424657534
59,0.2,aps_rolling,73,38596,33964,0.8966732304,0.9044576611,0.9034371507,0.9147323707,0.01028945907,0.006736959638,0.5205479452,0.4246575342,4853.669827,6806.955129,7126.976575,0,1000,2.424657534
71,0.2,margin_rolling,73,38596,33964,0.8978650637,0.898156872,0.8986659089,0.9135215298,0.008434121715,0.008133347655,0.5616438356,0.5342465753,3856.618184,4798.470292,7128,0.3084147921,1000,2.424657534
71,0.2,rank_rolling,73,38596,33964,0.8988755311,0.8875868567,0.8903428497,0.892894741,0.01012453885,0.01693159984,0.4657534247,0.6164383562,3560.022671,3560.022671,3560.022671,0,1000,2.424657534
71,0.2,adaptive_mass_rolling,73,38596,33964,0.9000414551,0.8890295607,0.8913895535,0.895669668,0.009004504138,0.01614816741,0.5342465753,0.6575342466,3209.494936,2840.145625,4578.306907,0,1000,2.424657534
