deletion_rate,method,seed_count,coverage_mean,coverage_sd,macro_time_coverage_mean,macro_time_coverage_sd,positive_undercoverage_mean,positive_undercoverage_sd,fraction_timestamps_below_target_mean,fraction_timestamps_below_target_sd,mean_size_mean,mean_size_sd,median_size_mean,median_size_sd,p90_size_mean,p90_size_sd
0.3,static,5,0.8234842989,0.005578485396,0.8192834316,0.006102133125,0.08076486755,0.006064641158,0.9945205479,0.007503048733,2748.586506,108.1566499,748.2972951,177.5095973,7128,0
0.3,expanding,5,0.8589853871,0.00390436143,0.8571140149,0.004240930497,0.04317595135,0.004164251163,0.9671232877,0.01561884144,3180.987175,97.71036135,1532.942782,360.967245,7128,0
0.3,rolling_count_250,5,0.9128666183,0.001607324067,0.9118368154,0.00167884047,0.005962997702,0.001038587317,0.3095890411,0.0490097091,4045.008239,77.05566529,5439.955923,286.9717142,7128,0
0.3,rolling_count_500,5,0.9000570007,0.0008143145846,0.8998885714,0.0008311064395,0.009988495597,0.0007462521274,0.4794520548,0.04331887206,3821.96111,69.5617897,4599.441533,382.0330089,7128,0
0.3,rolling_count_1000,5,0.8997823609,0.000453969724,0.8995402856,0.0005629123435,0.008501638659,0.0007700849678,0.5178082192,0.05513592273,3802.518743,81.86499182,4653.755695,423.6198791,7128,0
0.3,rolling_count_2000,5,0.8963985905,0.0004406887045,0.8967438303,0.0009646933643,0.009736714861,0.0007291359585,0.5616438356,0.04645431495,3752.428806,75.51403571,4341.893896,431.0117017,7128,0
0.3,weighted_count_250,5,0.9095139393,0.001027366522,0.9084655463,0.001122205148,0.007312443313,0.001027385243,0.3643835616,0.04705633983,3984.376676,76.64559387,5248.324464,289.9259565,7128,0
0.3,weighted_count_500,5,0.8983936159,0.001069309131,0.8982294733,0.001100836486,0.01089036918,0.0007779114733,0.5095890411,0.05070343979,3791.814675,67.51239694,4451.656021,383.7015351,7128,0
0.3,weighted_count_1000,5,0.8988133485,0.0005528489988,0.8986046236,0.000481644128,0.008944914036,0.0006912563952,0.5315068493,0.04784725807,3786.120468,81.80192824,4564.004907,431.4759926,7128,0
0.3,weighted_count_2000,5,0.8960721318,0.0005352035971,0.8963979179,0.00104118974,0.009920768998,0.0007300618614,0.5643835616,0.05598031984,3746.011763,74.65208673,4315.556845,422.9278287,7128,0
0.3,time_window_3,5,0.8962638615,0.0003127429138,0.8964297276,0.0007099929527,0.01022506802,0.0006152584471,0.5479452055,0.04109589041,3749.449793,72.52132796,4363.660094,397.6219589,7128,0
0.3,time_window_7,5,0.892890455,0.00100547248,0.8929984024,0.001337353892,0.01204696015,0.0009821618517,0.6520547945,0.04995776035,3699.712058,75.58196615,4066.576205,475.124351,7128,0
0.3,time_window_14,5,0.8874442947,0.001240057462,0.8873661566,0.001502085012,0.01600728903,0.001261137387,0.7369863014,0.04480938968,3615.344341,79.30983505,3578.562872,534.4985787,7128,0
0.3,time_window_30,5,0.8765519743,0.001947054607,0.8759757191,0.001952543907,0.02539141411,0.001787764741,0.8767123288,0.03212613534,3438.336268,88.12236767,2522.816551,552.6241605,7128,0
