seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
59,0,margin_static,73,38596,33964,0.8188931495,0.8195147804,0.8153367814,0.8397009298,0.08560302977,0.08480704238,0.9863013699,0.9863013699,2614.759216,631.3225768,7127.987175,0.1964727358,31419.61644,58
59,0,margin_rolling,73,38596,33964,0.8990309877,0.8990696031,0.8987776829,0.9148469177,0.008254430133,0.008793747851,0.5342465753,0.5205479452,3741.091391,4144.15911,7128,0.2967259451,1000,2.424657534
59,0,rank_static,73,38596,33964,0.9109234118,0.9011011659,0.9025410069,0.9052714078,0.004532972141,0.008308112008,0.2876712329,0.4383561644,3753,3753,3753,0,31419.61644,58
59,0,rank_expanding,73,38596,33964,0.9057156182,0.8954186786,0.8969183574,0.8999265329,0.006641242728,0.01130779428,0.3835616438,0.5205479452,3563.75315,3563.75315,3563.75315,0,31419.61644,58
59,0,rank_rolling,73,38596,33964,0.9003782775,0.8892062183,0.8909463871,0.8943323743,0.009562674491,0.01683196911,0.4931506849,0.6712328767,3348.027117,3348.027117,3348.027117,0,1000,2.424657534
71,0,margin_static,73,38596,33964,0.8171831278,0.8174243316,0.8139872369,0.8373123947,0.08641460841,0.08601276308,0.9863013699,1,2643.467907,667.2603639,7127.980568,0.1977387822,31419.61644,58
71,0,margin_rolling,73,38596,33964,0.8989532594,0.8973324697,0.8974917564,0.9134701009,0.008265139249,0.009750494245,0.5753424658,0.5205479452,3728.098869,4249.39745,7128,0.2917206454,1000,2.424657534
71,0,rank_static,73,38596,33964,0.9065706291,0.8965669532,0.8979345816,0.9009415431,0.006059298524,0.01081375187,0.3698630137,0.5616438356,3747,3747,3747,0,31419.61644,58
71,0,rank_expanding,73,38596,33964,0.9035392269,0.8932104581,0.8947475146,0.8977567985,0.007289878943,0.01280392148,0.4109589041,0.602739726,3623.518314,3623.518314,3623.518314,0,31419.61644,58
71,0,rank_rolling,73,38596,33964,0.8991346253,0.8878812861,0.8903503218,0.8929461026,0.009113266836,0.01621413699,0.5068493151,0.6712328767,3462.945531,3462.945531,3462.945531,0,1000,2.424657534
17,0.1,margin_static,73,38596,33964,0.8197481604,0.8204863974,0.8167844194,0.8412123574,0.08426669583,0.08321793837,1,0.9863013699,2750.216317,887.2077199,7128,0.2111058768,31419.61644,58
17,0.1,margin_rolling,73,38596,33964,0.8979168826,0.898156872,0.8982630096,0.9142058445,0.008702711884,0.008847300635,0.5205479452,0.5068493151,3908.996644,5198.88903,7128,0.3244906371,1000,2.424657534
17,0.1,rank_static,73,38596,33964,0.9043683283,0.8934754446,0.8957932581,0.8978348924,0.006866806267,0.01242587974,0.4246575342,0.5753424658,3606,3606,3606,0,31419.61644,58
17,0.1,rank_expanding,73,38596,33964,0.9039537776,0.8930043576,0.8953526685,0.8974030626,0.00703622543,0.01266040006,0.4109589041,0.5753424658,3590.864945,3590.864945,3590.864945,0,31419.61644,58
17,0.1,rank_rolling,73,38596,33964,0.8977096072,0.8859380521,0.8888602401,0.8907700591,0.01042957928,0.0185834933,0.5479452055,0.698630137,3379.025704,3379.025704,3379.025704,0,1000,2.424657534
29,0.1,margin_static,73,38596,33964,0.8222613742,0.8256094688,0.8213007503,0.8448296446,0.08224634205,0.07891380653,0.9863013699,0.9863013699,2819.98784,1055.428866,7128,0.2198504299,31419.61644,58
29,0.1,margin_rolling,73,38596,33964,0.8990309877,0.9004534213,0.9003780316,0.9161645243,0.007926236048,0.007274131907,0.5205479452,0.4931506849,3895.820133,4996.637204,7128,0.3204275115,1000,2.424657534
29,0.1,rank_static,73,38596,33964,0.9050419733,0.8947120481,0.8967370577,0.8987046509,0.006610150577,0.01199851127,0.3698630137,0.5753424658,3537,3537,3537,0,31419.61644,58
29,0.1,rank_expanding,73,38596,33964,0.9030469479,0.8925627135,0.8945534633,0.896870566,0.007519543447,0.01340604511,0.4109589041,0.6301369863,3475.15908,3475.15908,3475.15908,0,31419.61644,58
29,0.1,rank_rolling,73,38596,33964,0.8985387087,0.887410199,0.8899305231,0.892319669,0.01012913196,0.01704004404,0.4657534247,0.6301369863,3328.671652,3328.671652,3328.671652,0,1000,2.424657534
43,0.1,margin_static,73,38596,33964,0.8183749611,0.820162525,0.8165659635,0.8402641429,0.08557940755,0.08343403646,1,1,2700.0275,728.3058238,7127.991255,0.2056883759,31419.61644,58
43,0.1,margin_rolling,73,38596,33964,0.8986682558,0.8990107172,0.8991997919,0.914882997,0.008262634729,0.00819925709,0.5205479452,0.4794520548,3869.061536,4876.771611,7128,0.3138028501,1000,2.424657534
43,0.1,rank_static,73,38596,33964,0.9004819152,0.8897656342,0.8915897363,0.8941713495,0.007987460438,0.01423946701,0.4794520548,0.6438356164,3519,3519,3519,0,31419.61644,58
43,0.1,rank_expanding,73,38596,33964,0.9009741942,0.8902661642,0.8921437377,0.8946694259,0.007702795232,0.01390182159,0.4520547945,0.6301369863,3544.524938,3544.524938,3544.524938,0,31419.61644,58
43,0.1,rank_rolling,73,38596,33964,0.8987978029,0.8877929572,0.889886366,0.892427346,0.01017285281,0.01650275715,0.4794520548,0.6164383562,3501.652779,3501.652779,3501.652779,0,1000,2.424657534
59,0.1,margin_static,73,38596,33964,0.817260856,0.814332823,0.8101755908,0.8351522788,0.08761133965,0.0898739223,0.9726027397,0.9863013699,2533.157019,524.9026028,7127.953557,0.1879048404,31419.61644,58
59,0.1,margin_rolling,73,38596,33964,0.8976577884,0.8942998469,0.8942743194,0.9107509396,0.009603012098,0.01195652146,0.5890410959,0.5753424658,3610.121423,3561.256949,7128,0.2785890943,1000,2.424657534
59,0.1,rank_static,73,38596,33964,0.9034096798,0.8926215993,0.8945086689,0.8970043211,0.008154311369,0.01375263308,0.4246575342,0.5616438356,3550,3550,3550,0,31419.61644,58
59,0.1,rank_expanding,73,38596,33964,0.9017773863,0.89082558,0.8928416747,0.8953103706,0.008955291937,0.01488948603,0.4657534247,0.602739726,3509.613326,3509.613326,3509.613326,0,31419.61644,58
59,0.1,rank_rolling,73,38596,33964,0.8981241579,0.8864974679,0.8884801518,0.8915029078,0.01145480869,0.01891653163,0.4931506849,0.6301369863,3411.334148,3411.334148,3411.334148,0,1000,2.424657534
71,0.1,margin_static,73,38596,33964,0.8211731786,0.8217524438,0.8175350533,0.8412430388,0.08361624407,0.08253803745,0.9863013699,0.9863013699,2702.672771,768.401425,7127.989312,0.2059828053,31419.61644,58
71,0.1,margin_rolling,73,38596,33964,0.8986682558,0.8983629726,0.8986431857,0.9136199561,0.00767182444,0.008190822124,0.5753424658,0.5753424658,3770.629255,4379.662761,7128,0.3049110823,1000,2.424657534
71,0.1,rank_static,73,38596,33964,0.9030210384,0.892297727,0.8940779415,0.8968640232,0.008127212844,0.01357719467,0.4246575342,0.5616438356,3602,3602,3602,0,31419.61644,58
71,0.1,rank_expanding,73,38596,33964,0.902995129,0.8921505123,0.8939474384,0.8968443945,0.008038554889,0.01367071395,0.4109589041,0.5890410959,3607.87528,3607.87528,3607.87528,0,31419.61644,58
71,0.1,rank_rolling,73,38596,33964,0.8987200746,0.8874985279,0.8909166495,0.892512567,0.009351235397,0.01633311373,0.4931506849,0.6575342466,3465.978036,3465.978036,3465.978036,0,1000,2.424657534
17,0.2,margin_static,73,38596,33964,0.8194631568,0.8219879873,0.818560093,0.8416989955,0.08479446994,0.08167804149,0.9863013699,0.9863013699,2820.669002,1054.381522,7128,0.2199976446,31419.61644,58
17,0.2,margin_rolling,73,38596,33964,0.8987978029,0.9001295489,0.900552002,0.9157427893,0.007887948438,0.00736940609,0.4520547945,0.4657534247,3997.587269,5538.714138,7128,0.3375927453,1000,2.424657534
17,0.2,rank_static,73,38596,33964,0.9027101254,0.891797197,0.8940603211,0.8961203319,0.007207769042,0.01330010549,0.397260274,0.6164383562,3584,3584,3584,0,31419.61644,58
