seed,deletion_rate,extra_delay_blocks,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size,pool_score_count_mean,pool_span_blocks_mean
43,0.1,7,static,38596,0.8183749611,0.8144205925,0.08557940755,1,2499.341149,427.4789616,7127.983003,27862.76712,58
43,0.1,7,rolling,38596,0.885687636,0.8859638145,0.01809219065,0.7534246575,3413.07949,2501.716862,7128,1000,9.02739726
59,0.1,7,static,38596,0.817260856,0.8125378826,0.08761133965,0.9726027397,2343.599181,321.5158307,7127.936999,27862.76712,58
59,0.1,7,rolling,38596,0.8888485853,0.8884495516,0.01732477521,0.6438356164,3198.016116,1500.485983,7128,1000,9.02739726
71,0.1,7,static,38596,0.8211731786,0.816442048,0.08361624407,0.9863013699,2498.662271,463.9477666,7127.989481,27862.76712,58
71,0.1,7,rolling,38596,0.8880972121,0.8879716373,0.01597240389,0.6712328767,3339.380972,2095.53604,7128,1000,9.02739726
17,0.2,0,static,38596,0.8194631568,0.8154095522,0.08479446994,0.9863013699,2613.015701,541.6492642,7128,31419.61644,58
17,0.2,0,rolling,38596,0.8987978029,0.8994363002,0.007887948438,0.4520547945,3735.315706,4364.354104,7128,1000,2.424657534
29,0.2,0,static,38596,0.8264068815,0.8229388642,0.07706113576,1,2811.526246,880.3482226,7128,31419.61644,58
29,0.2,0,rolling,38596,0.8996009949,0.8996015828,0.008586639189,0.5205479452,3844.126023,4927.059773,7128,1000,2.424657534
43,0.2,0,static,38596,0.8092548451,0.8049860089,0.09501399109,1,2425.68476,360.8506063,7127.975723,31419.61644,58
43,0.2,0,rolling,38596,0.8983573427,0.8982786369,0.007834249232,0.5753424658,3602.105425,3476.601513,7128,1000,2.424657534
59,0.2,0,static,38596,0.8147735517,0.8099716324,0.09010747819,0.9863013699,2553.83006,503.9803088,7128,31419.61644,58
59,0.2,0,rolling,38596,0.8971136905,0.8969891921,0.009612032028,0.5890410959,3634.897606,3779.973184,7128,1000,2.424657534
71,0.2,0,static,38596,0.816949943,0.8134231398,0.08657686018,1,2528.651078,480.3061716,7128,31419.61644,58
71,0.2,0,rolling,38596,0.8978650637,0.898576817,0.008434121715,0.5616438356,3598.89486,3458.515986,7128,1000,2.424657534
17,0.2,1,static,38596,0.8194631568,0.8154095522,0.08479446994,0.9863013699,2613.015701,541.6492642,7128,30895.75342,58
17,0.2,1,rolling,38596,0.8961032231,0.8974746949,0.009428727059,0.5479452055,3689.297958,4081.474609,7128,1000,3.424657534
29,0.2,1,static,38596,0.8264068815,0.8229388642,0.07706113576,1,2811.526246,880.3482226,7128,30895.75342,58
29,0.2,1,rolling,38596,0.8965177739,0.897743035,0.01001433246,0.5342465753,3799.76881,4659.309151,7128,1000,3.424657534
43,0.2,1,static,38596,0.8092548451,0.8049860089,0.09501399109,1,2425.68476,360.8506063,7127.975723,30895.75342,58
43,0.2,1,rolling,38596,0.8963104985,0.8967475196,0.008987349137,0.5616438356,3564.999508,3332.612421,7128,1000,3.424657534
59,0.2,1,static,38596,0.8147735517,0.8099716324,0.09010747819,0.9863013699,2553.83006,503.9803088,7128,30895.75342,58
59,0.2,1,rolling,38596,0.8949632086,0.8952475808,0.01084823841,0.5479452055,3599.501917,3608.522256,7128,1000,3.424657534
