deletion_rate,method,seed_count,coverage,coverage_sd,mean_size,mean_size_sd,median_size,median_size_sd,p90_size,p90_size_sd,mrr,mrr_sd,frequency_mrr,frequency_mrr_sd,hits_at_1,hits_at_1_sd,hits_at_3,hits_at_3_sd,hits_at_10,hits_at_10_sd
0.2,adaptive,5,0.8974453311223961,0.0007171810010687488,3667.9316043113276,104.2717739811969,3920.207767644316,642.6181468158677,7128.0,0.0,0.31456018462237606,0.001575157878978745,0.09251497124879297,0.00040258625043559714,0.2332158772929837,0.002137911885917236,0.3481034304072961,0.0017030000269023507,0.47401803295678313,0.003698627653311993
0.2,rolling,5,0.8983469789615505,0.0009393013709727777,3683.0679966835946,105.62908851349931,4001.303471862369,633.978787247276,7128.0,0.0,0.31456018462237606,0.001575157878978745,0.09251497124879297,0.00040258625043559714,0.2332158772929837,0.002137911885917236,0.3481034304072961,0.0017030000269023507,0.47401803295678313,0.003698627653311993
0.2,static,5,0.8173696756140533,0.006301195608919187,2586.5419939890144,142.84180135528308,553.4269147061872,194.86758265776032,7127.995144574566,0.010857061327090814,0.31456018462237606,0.001575157878978745,0.09251497124879297,0.00040258625043559714,0.2332158772929837,0.002137911885917236,0.3481034304072961,0.0017030000269023507,0.47401803295678313,0.003698627653311993
0.2,top1,5,0.22525650326458702,0.0019255946978894605,1.0,0.0,1.0,0.0,1.0,0.0,0.31456018462237606,0.001575157878978745,0.09251497124879297,0.00040258625043559714,0.2332158772929837,0.002137911885917236,0.3481034304072961,0.0017030000269023507,0.47401803295678313,0.003698627653311993
0.2,weighted,5,0.8973935122810655,0.0006821611455597093,3666.1102290392787,104.42414870516596,3914.308280650845,644.1248689865587,7128.0,0.0,0.31456018462237606,0.001575157878978745,0.09251497124879297,0.00040258625043559714,0.2332158772929837,0.002137911885917236,0.3481034304072961,0.0017030000269023507,0.47401803295678313,0.003698627653311993
0.3,adaptive,5,0.8988858949113897,0.0006211780227377454,3787.336195460669,82.75750953589963,4569.404093688465,433.7018183470123,7128.0,0.0,0.31051825335082517,0.0013190652940693838,0.092539431009383,0.000348576707085098,0.230966939579231,0.0019791134461165775,0.3425847238055757,0.0017350221833223145,0.4660897502331848,0.003655359247501767
0.3,rolling,5,0.899782360866411,0.0004539697240111619,3802.518862058244,81.86502780684988,4653.754036687739,423.61931275059476,7128.0,0.0,0.31051825335082517,0.0013190652940693838,0.092539431009383,0.000348576707085098,0.230966939579231,0.0019791134461165775,0.3425847238055757,0.0017350221833223145,0.4660897502331848,0.003655359247501767
0.3,static,5,0.8234842988910767,0.0055784853963913575,2748.5863457353094,108.15667673482588,748.2972950564825,177.50959728027405,7128.0,0.0,0.31051825335082517,0.0013190652940693838,0.092539431009383,0.000348576707085098,0.230966939579231,0.0019791134461165775,0.3425847238055757,0.0017350221833223145,0.4660897502331848,0.003655359247501767
0.3,top1,5,0.2232666597574878,0.001760449329662315,1.0,0.0,1.0,0.0,1.0,0.0,0.31051825335082517,0.0013190652940693838,0.092539431009383,0.000348576707085098,0.230966939579231,0.0019791134461165775,0.3425847238055757,0.0017350221833223145,0.4660897502331848,0.003655359247501767
0.3,weighted,5,0.8988133485335268,0.0005528489987928768,3786.1204891698626,81.80188855444328,4564.001896569593,431.4757298503487,7128.0,0.0,0.31051825335082517,0.0013190652940693838,0.092539431009383,0.000348576707085098,0.230966939579231,0.0019791134461165775,0.3425847238055757,0.0017350221833223145,0.4660897502331848,0.003655359247501767
