seed,deletion_rate,method,query_count,label_count,multi_answer_query_count,multi_answer_query_fraction,mean_answer_count,max_answer_count,full_set_coverage,partial_answer_recall,label_weighted_partial_recall,mean_size,median_size,p90_size,singleton_rate,multi_answer_full_set_coverage,multi_answer_partial_recall,multi_answer_mean_answer_count,full_vocabulary_set_rate,normalized_mean_size,normalized_p90_size
43,0.1,static,33964,38596,3439,0.1012542692,1.136379696,17,0.820162525,0.8402641429,0.8183749611,2700.027058,376,7128,0.03303497821,0.4952020936,0.6937282202,2.34690317,0.2056883759,0.3787916748,1
43,0.1,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8990107172,0.914882997,0.8986682558,3869.061359,5463.5,7128,0.01030502885,0.6519337017,0.8086903493,2.34690317,0.3138028501,0.5427976093,1
43,0.1,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8979802143,0.9139177593,0.8977096072,3850.735632,5353.5,7128,0.01059945825,0.6507705728,0.8081717877,2.34690317,0.3118301731,0.5402266599,1
43,0.1,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8980391002,0.9139619237,0.8977614261,3851.901602,5361,7128,0.01059945825,0.651061355,0.8083171788,2.34690317,0.3119185019,0.5403902359,1
43,0.1,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2254151454,0.2416169759,0.2299461084,1,1,1,1,0,0.1600113313,2.34690317,0,0.000140291807,0.000140291807
43,0.2,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8102991403,0.8313841173,0.8092548451,2623.984778,313,7128,0.03521375574,0.4719395173,0.6801774233,2.34690317,0.1999764456,0.3681235659,1
43,0.2,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8983040867,0.9143335206,0.8983573427,3861.156931,5370.5,7128,0.01183606171,0.6501890084,0.8084977298,2.34690317,0.3068248734,0.5416886828,1
43,0.2,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8973030267,0.9134843021,0.8974246036,3841.886321,5266,7128,0.01207160523,0.6475719686,0.8073802953,2.34690317,0.3044399953,0.5389851741,1
43,0.2,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8973619126,0.9135473941,0.8975023318,3846.04069,5297.5,7128,0.01204216229,0.6475719686,0.8074218357,2.34690317,0.3047933106,0.5395679981,1
43,0.2,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2219408786,0.2379832264,0.2266297026,1,1,1,1,0,0.158436261,2.34690317,0,0.000140291807,0.000140291807
43,0.3,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8271405017,0.8466585886,0.8242563996,2930.510452,565,7128,0.02991402662,0.5018900843,0.6946531845,2.34690317,0.2396949711,0.4111266067,1
