target_coverage,selection_tolerance,seed,deletion_rate,method,timestamp_count,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,macro_time_full_set_coverage,partial_answer_recall,positive_label_undercoverage,positive_full_set_undercoverage,fraction_timestamps_label_below_target,fraction_timestamps_full_set_below_target,mean_size,median_size,p90_size,full_vocabulary_set_rate,pool_score_count_mean,pool_span_blocks_mean
0.88,0.01,29,0,margin_rolling,73,38596,33964,0.8792620997,0.8827287716,0.8824250634,0.8990713206,0.009414240439,0.007718149558,0.4931506849,0.4657534247,3617.487546,3601.611618,7128,0.3042633377,1000,2.424657534
0.88,0.01,29,0,rank_rolling,73,38596,33964,0.8797284693,0.8665940407,0.8695773073,0.87252469,0.01015172793,0.01798745121,0.4383561644,0.6575342466,2557.270934,2557.270934,2557.270934,0,1000,2.424657534
0.88,0.01,29,0,adaptive_mass_rolling,73,38596,33964,0.8790030055,0.865975739,0.8687214746,0.8741926793,0.009282803305,0.01773442559,0.5068493151,0.7123287671,2217.09884,1764.027411,3962.199494,0,1000,2.424657534
0.88,0.01,43,0,margin_rolling,73,38596,33964,0.877189346,0.8704216229,0.8698997582,0.8873894488,0.01003974596,0.01409461893,0.5342465753,0.6575342466,3118.282741,1478.767607,7128,0.2139029561,1000,2.424657534
0.88,0.01,43,0,rank_rolling,73,38596,33964,0.8797802881,0.8666823696,0.8686949228,0.8741186513,0.009753416507,0.01766986048,0.397260274,0.6575342466,3112.207514,3112.207514,3112.207514,0,1000,2.424657534
0.88,0.01,43,0,adaptive_mass_rolling,73,38596,33964,0.8793916468,0.8664173831,0.8678398971,0.8755324031,0.01063714585,0.01926084989,0.4931506849,0.6712328767,2750.813803,2349.21514,4271.267047,0,1000,2.424657534
0.88,0.01,59,0,margin_rolling,73,38596,33964,0.8790289149,0.8794900483,0.8786029081,0.8965463782,0.009123386953,0.009359260304,0.5068493151,0.5342465753,3384.91859,2411.395095,7128,0.2640148392,1000,2.424657534
0.88,0.01,59,0,rank_rolling,73,38596,33964,0.8791066432,0.8659462961,0.868406483,0.8725971056,0.01048611387,0.01919418272,0.5479452055,0.6438356164,2555.632788,2555.632788,2555.632788,0,1000,2.424657534
0.88,0.01,59,0,adaptive_mass_rolling,73,38596,33964,0.8802466577,0.8673301142,0.8690941771,0.8758664169,0.010929873,0.01908370463,0.4657534247,0.698630137,2214.543016,1769.794665,3932.841208,0,1000,2.424657534
0.88,0.01,71,0,margin_rolling,73,38596,33964,0.8785884548,0.8770757272,0.876862101,0.8946726506,0.009343902061,0.01022745367,0.5890410959,0.6164383562,3384.503239,2368.75262,7128,0.2601872571,1000,2.424657534
0.88,0.01,71,0,rank_rolling,73,38596,33964,0.8794952845,0.8662407255,0.8691719938,0.8728929371,0.009741943172,0.01823532215,0.5068493151,0.6712328767,2686.872453,2686.872453,2686.872453,0,1000,2.424657534
0.88,0.01,71,0,adaptive_mass_rolling,73,38596,33964,0.8793657374,0.8662112825,0.8688250805,0.874762073,0.009516580423,0.01813470864,0.5205479452,0.698630137,2315.338918,1879.8002,3991.926045,0,1000,2.424657534
0.88,0.01,17,0.1,margin_rolling,73,38596,33964,0.8786920924,0.8795489342,0.8794901963,0.8971020203,0.008470907117,0.008161369445,0.4794520548,0.4657534247,3570.338741,3459.746761,7128,0.287039218,1000,2.424657534
0.88,0.01,17,0.1,rank_rolling,73,38596,33964,0.8791843714,0.8657107526,0.8685250463,0.8719928243,0.0107612076,0.01971550101,0.4794520548,0.6575342466,2598.403839,2598.403839,2598.403839,0,1000,2.424657534
0.88,0.01,17,0.1,adaptive_mass_rolling,73,38596,33964,0.8791066432,0.8657696384,0.8689071577,0.8742888829,0.0107218695,0.01970977769,0.5342465753,0.6712328767,2267.54546,1802.111589,4008.876045,0,1000,2.424657534
0.88,0.01,29,0.1,margin_rolling,73,38596,33964,0.8791843714,0.8807855376,0.8803076699,0.8982808828,0.009067722918,0.008440879242,0.4109589041,0.4657534247,3541.493375,3279.656401,7128,0.2868036745,1000,2.424657534
0.88,0.01,29,0.1,rank_rolling,73,38596,33964,0.8791843714,0.8663290543,0.8692270284,0.8725312796,0.01081856623,0.01892682664,0.4794520548,0.602739726,2583.159404,2583.159404,2583.159404,0,1000,2.424657534
0.88,0.01,29,0.1,adaptive_mass_rolling,73,38596,33964,0.8795211939,0.8667706984,0.8695791341,0.8749209013,0.01024393757,0.01797180251,0.4657534247,0.6712328767,2262.127517,1800.149246,4014.213202,0,1000,2.424657534
0.88,0.01,43,0.1,margin_rolling,73,38596,33964,0.8784070888,0.8794606053,0.8794791454,0.8962564704,0.009337709248,0.008849451493,0.5479452055,0.5068493151,3511.115181,3146.054499,7128,0.2773819338,1000,2.424657534
0.88,0.01,43,0.1,rank_rolling,73,38596,33964,0.8787439113,0.8655340949,0.867573477,0.8716808694,0.0114905302,0.01952388096,0.4794520548,0.6301369863,2702.296461,2702.296461,2702.296461,0,1000,2.424657534
0.88,0.01,43,0.1,adaptive_mass_rolling,73,38596,33964,0.8802725671,0.8671534566,0.8687011409,0.8749660471,0.01014932231,0.01776832149,0.4383561644,0.6301369863,2387.881139,1952.472235,4049.246061,0,1000,2.424657534
0.88,0.01,59,0.1,margin_rolling,73,38596,33964,0.8779148098,0.8743669768,0.8746529392,0.8925050977,0.01053957378,0.0127874116,0.5342465753,0.5890410959,3263.116005,1786.083647,7128,0.2459663173,1000,2.424657534
0.88,0.01,59,0.1,rank_rolling,73,38596,33964,0.8797025599,0.8663879402,0.8689632609,0.8728885907,0.0111122403,0.01928491436,0.4794520548,0.6575342466,2639.090007,2639.090007,2639.090007,0,1000,2.424657534
0.88,0.01,59,0.1,adaptive_mass_rolling,73,38596,33964,0.8813089439,0.8680956307,0.8700500959,0.8763404482,0.009989096848,0.01804230968,0.4931506849,0.6438356164,2300.271317,1844.751678,4028.41319,0,1000,2.424657534
0.88,0.01,71,0.1,margin_rolling,73,38596,33964,0.8805575707,0.8812860676,0.8813797228,0.8977566727,0.00789893066,0.007966398368,0.5068493151,0.5068493151,3428.368684,2619.938258,7128,0.2703156283,1000,2.424657534
0.88,0.01,71,0.1,rank_rolling,73,38596,33964,0.8784848171,0.8652985514,0.8685151648,0.8718239948,0.01042162126,0.01869618784,0.5068493151,0.6438356164,2703.785184,2703.785184,2703.785184,0,1000,2.424657534
0.88,0.01,71,0.1,adaptive_mass_rolling,73,38596,33964,0.879339828,0.865975739,0.8689776329,0.8742963838,0.009461597091,0.01797733935,0.5205479452,0.6849315068,2379.011453,1938.968673,4050.178577,0,1000,2.424657534
0.88,0.01,17,0.2,margin_rolling,73,38596,33964,0.8784329982,0.8805205512,0.8808971217,0.8975944768,0.008332818558,0.007752899062,0.4657534247,0.4794520548,3632.057178,3795.254829,7128,0.2968731598,1000,2.424657534
0.88,0.01,17,0.2,rank_rolling,73,38596,33964,0.8781220852,0.8648569073,0.8681622196,0.8711198412,0.01115847847,0.01975777902,0.5205479452,0.6438356164,2662.416941,2662.416941,2662.416941,0,1000,2.424657534
0.88,0.01,17,0.2,adaptive_mass_rolling,73,38596,33964,0.8785884548,0.865504652,0.8687007768,0.8736687819,0.01037393658,0.01877396801,0.4931506849,0.6575342466,2340.733512,1861.19132,4076.176098,0,1000,2.424657534
0.88,0.01,29,0.2,margin_rolling,73,38596,33964,0.8794693751,0.8834942881,0.8831448114,0.8995290676,0.01022921786,0.008080041992,0.5068493151,0.4520547945,3771.430603,4484.705865,7128,0.331851372,1000,2.424657534
