seed,deletion_rate,method,prediction_side,base_relation_id,relation_label,label_count,query_count,label_coverage,mean_size,median_size,p90_size,mrr,top1_accuracy,unique_query_count,positive_undercoverage,full_vocabulary_set_rate,normalized_mean_size,query_full_set_coverage,query_partial_answer_recall,multi_answer_query_fraction,max_answer_count
17,0,static,object,46,14,275,275,0.8763636364,2497.756364,204,7128,0.4623346881,0.3672727273,264,0.02363636364,0.1854545455,0.3504147536,0.8712121212,0.8731060606,0.03787878788,3
17,0,static,object,47,140,3,3,1,7128,7128,7128,1,0.6666666667,2,0,1,1,1,1,0.5,2
17,0,static,object,48,141,6,6,1,7128,7128,7128,0.02125422089,0,6,0,1,1,1,1,0,1
17,0,static,object,49,142,4,4,1,7128,7128,7128,0.3137933261,0.25,3,0,1,1,1,1,0.3333333333,2
17,0,static,object,51,144,2,2,1,7128,7128,7128,0.1757575758,0,2,0,1,1,1,1,0,1
17,0,static,object,52,145,4,4,1,7128,7128,7128,0.3147423574,0.25,4,0,1,1,1,1,0,1
17,0,static,object,53,146,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,55,148,2,2,1,7128,7128,7128,0.05765639589,0,2,0,1,1,1,1,0,1
17,0,static,object,56,149,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,57,15,358,358,0.905027933,1972.586592,145,7128,0.3319038877,0.2234636872,330,0,0.1201117318,0.2767377374,0.9,0.9101010101,0.07575757576,3
17,0,static,object,58,150,2,2,1,7128,7128,7128,0.5001065871,0.5,2,0,1,1,1,1,0,1
17,0,static,object,59,151,1,1,1,7128,7128,7128,0.5,0,1,0,1,1,1,1,0,1
17,0,static,object,60,152,2,2,1,7128,7128,7128,0.2504198153,0,2,0,1,1,1,1,0,1
17,0,static,object,61,153,2,2,1,7128,7128,7128,0.6,0.5,2,0,1,1,1,1,0,1
17,0,static,object,63,155,1,1,1,7128,7128,7128,0.1111111111,0,1,0,1,1,1,1,0,1
17,0,static,object,64,156,5,5,1,7128,7128,7128,0.5111111111,0.4,5,0,1,1,1,1,0,1
17,0,static,object,65,157,3,3,1,7128,7128,7128,0.5000474091,0.3333333333,3,0,1,1,1,1,0,1
17,0,static,object,66,158,2,2,1,7128,7128,7128,0.05813287514,0,2,0,1,1,1,1,0,1
17,0,static,object,67,159,3,3,1,7128,7128,7128,0.3791152263,0.3333333333,3,0,1,1,1,1,0,1
17,0,static,object,68,16,367,367,0.8337874659,1588.820163,118,7119.4,0.3448055475,0.2452316076,322,0.06621253406,0.08446866485,0.2228984517,0.8260869565,0.8545548654,0.1304347826,3
17,0,static,object,71,162,6,6,1,7128,7128,7128,0.25,0,6,0,1,1,1,1,0,1
17,0,static,object,72,163,2,2,1,7128,7128,7128,1,1,2,0,1,1,1,1,0,1
17,0,static,object,73,164,6,6,1,7128,7128,7128,0.09475811038,0,6,0,1,1,1,1,0,1
17,0,static,object,74,165,1,1,1,7128,7128,7128,0.002222222222,0,1,0,1,1,1,1,0,1
17,0,static,object,77,168,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,78,169,1,1,1,7128,7128,7128,0.5,0,1,0,1,1,1,1,0,1
17,0,static,object,79,17,347,347,0.8328530259,2351.587896,391,7128,0.3184473536,0.1844380403,309,0.06714697406,0.1902017291,0.3299085152,0.8446601942,0.85798274,0.08090614887,5
17,0,static,object,80,170,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,82,172,2,2,1,7128,7128,7128,1,1,2,0,1,1,1,1,0,1
17,0,static,object,84,174,2,2,1,7128,7128,7128,0.1766666667,0,2,0,1,1,1,1,0,1
17,0,static,object,85,175,1,1,1,7128,7128,7128,0.1666666667,0,1,0,1,1,1,1,0,1
17,0,static,object,88,178,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,89,179,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,90,18,170,170,0.8823529412,2385.447059,86.5,7128,0.5331754924,0.4411764706,165,0.01764705882,0.1705882353,0.3346586783,0.8787878788,0.8878787879,0.0303030303,2
17,0,static,object,91,180,1,1,1,7128,7128,7128,0.0001462843768,0,1,0,1,1,1,1,0,1
17,0,static,object,93,182,3,3,1,7128,7128,7128,0.001566338001,0,3,0,1,1,1,1,0,1
17,0,static,object,97,186,2,2,1,7128,7128,7128,0.1255202914,0,2,0,1,1,1,1,0,1
17,0,static,object,98,187,3,3,1,7128,7128,7128,0.0005030621031,0,3,0,1,1,1,1,0,1
17,0,static,object,100,189,1,1,1,7128,7128,7128,0.0009017132552,0,1,0,1,1,1,1,0,1
17,0,static,object,101,19,148,148,0.8648648649,2728.581081,237,7128,0.4746240275,0.3581081081,136,0.03513513514,0.2432432432,0.3827975703,0.8529411765,0.8578431373,0.08088235294,3
17,0,static,object,103,191,2,2,1,7128,7128,7128,0.5,0,2,0,1,1,1,1,0,1
17,0,static,object,106,194,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,110,198,1,1,1,7128,7128,7128,0.0006345177665,0,1,0,1,1,1,1,0,1
17,0,static,object,111,199,1,1,1,7128,7128,7128,0.0001420051122,0,1,0,1,1,1,1,0,1
17,0,static,object,112,2,1296,1296,0.8186728395,2153.170525,132,7128,0.4468036455,0.3395061728,1143,0.08132716049,0.1458333333,0.3020721836,0.832895888,0.8545348498,0.09448818898,5
17,0,static,object,113,20,213,213,0.8591549296,3116.859155,337,7128,0.3727411777,0.3145539906,196,0.04084507042,0.2910798122,0.4372698029,0.862244898,0.8698979592,0.08163265306,3
17,0,static,object,115,201,1,1,1,7128,7128,7128,1,1,1,0,1,1,1,1,0,1
17,0,static,object,117,203,2,2,1,7128,7128,7128,0.05882352941,0,2,0,1,1,1,1,0,1
17,0,static,object,124,21,196,196,0.9030612245,1845.290816,56.5,7128,0.5822417191,0.4846938776,192,0,0.1530612245,0.258879183,0.9010416667,0.90625,0.02083333333,2
17,0,static,object,126,211,1,1,1,7128,7128,7128,0.0001424907381,0,1,0,1,1,1,1,0,1
17,0,static,object,132,217,1,1,1,7128,7128,7128,0.0005977286312,0,1,0,1,1,1,1,0,1
17,0,static,object,135,22,169,169,0.9230769231,2918.95858,995,7128,0.3181741478,0.2130177515,155,0,0.2426035503,0.4095059736,0.9225806452,0.9322580645,0.08387096774,3
17,0,static,object,139,223,1,1,1,7128,7128,7128,0.005747126437,0,1,0,1,1,1,1,0,1
17,0,static,object,143,227,1,1,1,7128,7128,7128,0.000141023833,0,1,0,1,1,1,1,0,1
17,0,static,object,144,228,1,1,1,7128,7128,7128,0.07142857143,0,1,0,1,1,1,1,0,1
17,0,static,object,146,23,129,129,0.9534883721,3921.604651,6186,7128,0.5937804023,0.503875969,127,0,0.3643410853,0.5501690027,0.9527559055,0.9527559055,0.0157480315,2
17,0,static,object,147,24,120,120,0.95,4471.6,6808,7128,0.5332053076,0.4916666667,113,0,0.3583333333,0.627328844,0.9469026549,0.9513274336,0.06194690265,2
17,0,static,object,148,25,101,101,0.9306930693,3427.940594,1161,7128,0.5461348577,0.5148514851,99,0,0.3465346535,0.4809119801,0.9292929293,0.9343434343,0.0202020202,2
17,0,static,object,149,26,95,95,0.8736842105,2945.147368,909,7128,0.3441340302,0.2421052632,88,0.02631578947,0.2105263158,0.4131800461,0.875,0.8806818182,0.07954545455,2
17,0,static,object,150,27,149,149,0.9463087248,2488.241611,217,7128,0.4191113003,0.3020134228,115,0,0.1677852349,0.3490799117,0.9391304348,0.9492753623,0.2173913043,4
17,0,static,object,151,28,132,132,0.8409090909,3976.439394,5495.5,7128,0.3375767424,0.2803030303,131,0.05909090909,0.2727272727,0.5578618678,0.8396946565,0.8396946565,0.007633587786,2
17,0,static,object,152,29,80,80,0.975,4258.825,6646,7128,0.5410134846,0.475,77,0,0.3875,0.5974782548,0.974025974,0.974025974,0.03896103896,2
17,0,static,object,153,3,1133,1133,0.8225948808,2333.060018,249,7128,0.2505978648,0.1518093557,878,0.07740511915,0.1579876434,0.3273092056,0.8041002278,0.8420842825,0.2141230068,6
17,0,static,object,154,30,104,104,0.8557692308,3065.269231,838,7128,0.3756117585,0.3269230769,100,0.04423076923,0.2211538462,0.4300321592,0.85,0.85,0.04,2
17,0,static,object,155,31,56,56,0.9642857143,5268.607143,7113,7128,0.7471115016,0.7142857143,56,0,0.3928571429,0.7391424162,0.9642857143,0.9642857143,0,1
17,0,static,object,156,32,60,60,0.9333333333,3028.333333,805,7128,0.5821936041,0.5333333333,59,0,0.2333333333,0.4248503554,0.9322033898,0.9322033898,0.01694915254,2
17,0,static,object,157,33,56,56,0.9285714286,4874.428571,7120,7128,0.1919167326,0.1428571429,48,0,0.4821428571,0.6838423922,0.9166666667,0.9375,0.1666666667,2
17,0,static,object,158,34,59,59,1,4387.338983,6616,7128,0.8071902236,0.7288135593,59,0,0.186440678,0.6155077137,1,1,0,1
17,0,static,object,159,35,52,52,0.9807692308,4263.346154,7043,7128,0.566739406,0.4807692308,52,0,0.4423076923,0.5981125356,0.9807692308,0.9807692308,0,1
