seed,deletion_rate,method,timestamp,threshold,threshold_units,pool_score_count,pool_span_blocks,label_row_count,unique_query_count,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,singleton_rate,full_vocabulary_set_rate
17,0,rank_expanding,310,3709,rank,21110,40,620,527,0.9387096774,0.9297912713,0.9297912713,3709,3709,3709,0,0
17,0,rank_rolling,310,4406,rank,1000,2,620,527,0.9516129032,0.944971537,0.944971537,4406,4406,4406,0,0
17,0,margin_static,311,14.88379383,score_margin,21730,41,438,366,0.8561643836,0.8415300546,0.8742258652,2602.221311,419,7128,0.02732240437,0.193989071
17,0,margin_rolling,311,16.87587738,score_margin,1000,2,438,366,0.901826484,0.8907103825,0.9166666667,3189.248634,1313,7128,0.01639344262,0.237704918
17,0,rank_static,311,3547,rank,21730,41,438,366,0.9200913242,0.9071038251,0.9071038251,3547,3547,3547,0,0
17,0,rank_expanding,311,3677,rank,21730,41,438,366,0.9246575342,0.912568306,0.912568306,3677,3677,3677,0,0
17,0,rank_rolling,311,2983,rank,1000,2,438,366,0.897260274,0.8797814208,0.8829690346,2983,2983,2983,0,0
17,0,margin_static,312,14.88379383,score_margin,22168,42,460,368,0.8260869565,0.8369565217,0.8710533126,2449.646739,405,7128,0.03260869565,0.1847826087
17,0,margin_rolling,312,16.40095425,score_margin,1000,2,460,368,0.8673913043,0.875,0.9024197723,2913.673913,1018.5,7128,0.02173913043,0.2309782609
17,0,rank_static,312,3547,rank,22168,42,460,368,0.9282608696,0.910326087,0.9205615942,3547,3547,3547,0,0
17,0,rank_expanding,312,3659,rank,22168,42,460,368,0.9326086957,0.9157608696,0.9246376812,3659,3659,3659,0,0
17,0,rank_rolling,312,2172,rank,1000,2,460,368,0.9065217391,0.8858695652,0.8951992754,2172,2172,2172,0,0
17,0,margin_static,313,14.88379383,score_margin,22628,43,794,641,0.8476070529,0.8471138846,0.8810972439,2820.460218,399,7128,0.03120124805,0.2262090484
17,0,margin_rolling,313,17.4004364,score_margin,1000,3,794,641,0.8967254408,0.8892355694,0.9198387936,3546.393136,2191,7128,0.01716068643,0.3010920437
17,0,rank_static,313,3547,rank,22628,43,794,641,0.9156171285,0.895475819,0.8998439938,3547,3547,3547,0,0
17,0,rank_expanding,313,3621,rank,22628,43,794,641,0.9168765743,0.8970358814,0.9014040562,3621,3621,3621,0,0
17,0,rank_rolling,313,2531,rank,1000,3,794,641,0.8904282116,0.864274571,0.8702028081,2531,2531,2531,0,0
17,0,margin_static,314,14.88379383,score_margin,23422,44,678,585,0.8569321534,0.8547008547,0.8785673586,2890.082051,634,7128,0.02735042735,0.2153846154
17,0,margin_rolling,314,17.77472782,score_margin,1000,2,678,585,0.8997050147,0.8991452991,0.9177411477,3742.847863,4330,7128,0.01367521368,0.3128205128
17,0,rank_static,314,3547,rank,23422,44,678,585,0.9115044248,0.8974358974,0.9056980057,3547,3547,3547,0,0
17,0,rank_expanding,314,3595,rank,23422,44,678,585,0.912979351,0.8991452991,0.9074074074,3595,3595,3595,0,0
17,0,rank_rolling,314,2730,rank,1000,2,678,585,0.9041297935,0.8888888889,0.8982905983,2730,2730,2730,0,0
17,0,margin_static,315,14.88379383,score_margin,24100,45,774,660,0.8410852713,0.8363636364,0.8613888889,2821.798485,675.5,7128,0.0303030303,0.1878787879
17,0,margin_rolling,315,18.27017021,score_margin,1000,2,774,660,0.8914728682,0.8878787879,0.9077272727,3951.24697,5849,7128,0.01212121212,0.3106060606
17,0,rank_static,315,3547,rank,24100,45,774,660,0.9237726098,0.9151515152,0.9198484848,3547,3547,3547,0,0
17,0,rank_expanding,315,3583,rank,24100,45,774,660,0.9237726098,0.9151515152,0.9198484848,3583,3583,3583,0,0
