seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
71,0.1,rolling_count_250,38596,0.9120634263,0.9112047033,0.005151382861,0.301369863,3802.279485,4442.64289,7128
17,0.1,rolling_count_500,38596,0.8996787232,0.8999743241,0.009612430711,0.4246575342,3667.717147,3883.330423,7128
29,0.1,rolling_count_500,38596,0.8997564514,0.8997165129,0.008961560613,0.4931506849,3650.14017,3789.095761,7128
43,0.1,rolling_count_500,38596,0.8994455384,0.8996505814,0.008758579393,0.5068493151,3623.55599,3714.68704,7128
59,0.1,rolling_count_500,38596,0.8993159913,0.8987371694,0.01019445974,0.4794520548,3395.449347,2417.601513,7128
71,0.1,rolling_count_500,38596,0.8998082703,0.8999333187,0.008268418143,0.4657534247,3545.689009,3226.457224,7128
17,0.1,rolling_count_1000,38596,0.8979168826,0.8982139646,0.008702711884,0.5205479452,3650.635999,3927.726267,7128
29,0.1,rolling_count_1000,38596,0.8990309877,0.8991757341,0.007926236048,0.5205479452,3639.152529,3819.80669,7128
43,0.1,rolling_count_1000,38596,0.8986682558,0.899049369,0.008262634729,0.5205479452,3611.085916,3595.265157,7128
59,0.1,rolling_count_1000,38596,0.8976577884,0.8976409458,0.009603012098,0.5890410959,3365.597575,2152.528811,7128
71,0.1,rolling_count_1000,38596,0.8986682558,0.8989569673,0.00767182444,0.5753424658,3517.721733,3085.757125,7128
17,0.1,rolling_count_2000,38596,0.8960514043,0.8971838371,0.008950845482,0.5479452055,3610.908799,3583.280081,7128
29,0.1,rolling_count_2000,38596,0.8962068608,0.8967854181,0.00862730764,0.5479452055,3587.318194,3438.87592,7128
43,0.1,rolling_count_2000,38596,0.8968805058,0.8981867055,0.008137446793,0.4931506849,3559.498005,3366.009742,7128
59,0.1,rolling_count_2000,38596,0.8962327702,0.8968344957,0.009460730856,0.5753424658,3334.112758,1929.792077,7128
71,0.1,rolling_count_2000,38596,0.8963104985,0.8971114205,0.00855614495,0.5890410959,3464.140947,2699.148254,7128
17,0.1,weighted_count_250,38596,0.9060265312,0.9054140517,0.00849701813,0.397260274,3818.000466,4666.509016,7128
29,0.1,weighted_count_250,38596,0.909032024,0.9078650812,0.006879254832,0.4109589041,3808.035185,4499.378899,7128
43,0.1,weighted_count_250,38596,0.905948803,0.9052155136,0.00832981129,0.4520547945,3759.441937,4406.26197,7128
59,0.1,weighted_count_250,38596,0.9043424189,0.9034701019,0.009744517725,0.4246575342,3503.299824,3047.922064,7128
71,0.1,weighted_count_250,38596,0.9082806508,0.9072374254,0.00654741306,0.3561643836,3722.147166,4121.359778,7128
17,0.1,weighted_count_500,38596,0.8982277956,0.898569025,0.01031325614,0.4657534247,3639.490776,3703.625272,7128
29,0.1,weighted_count_500,38596,0.8975282413,0.8974910093,0.01017025257,0.5479452055,3612.694839,3663.399964,7128
43,0.1,weighted_count_500,38596,0.8977355166,0.8979805741,0.00970534544,0.5342465753,3590.166727,3528.359208,7128
59,0.1,weighted_count_500,38596,0.8977873355,0.8973068646,0.01097912094,0.4931506849,3363.378614,2254.252695,7128
71,0.1,weighted_count_500,38596,0.897942792,0.8980381432,0.009548422113,0.5479452055,3511.465463,3079.16652,7128
17,0.1,weighted_count_1000,38596,0.8971914188,0.8975244253,0.009169874552,0.5479452055,3634.781117,3810.000803,7128
29,0.1,weighted_count_1000,38596,0.8977614261,0.8977305116,0.008758830591,0.5342465753,3621.217743,3682.987926,7128
43,0.1,weighted_count_1000,38596,0.8977096072,0.8981590279,0.008675660751,0.5342465753,3593.531713,3524.852161,7128
59,0.1,weighted_count_1000,38596,0.8964141362,0.8963961989,0.0103988884,0.6164383562,3347.016686,2071.550938,7128
71,0.1,weighted_count_1000,38596,0.8973468753,0.897552758,0.008622502852,0.5890410959,3496.744067,2969.071691,7128
17,0.1,weighted_count_2000,38596,0.8954554876,0.8965752211,0.009421854061,0.5616438356,3601.77635,3521.86908,7128
29,0.1,weighted_count_2000,38596,0.895662763,0.8962208977,0.008927804304,0.5479452055,3579.130298,3396.874624,7128
43,0.1,weighted_count_2000,38596,0.8966214115,0.8978388921,0.008300110675,0.4931506849,3556.293502,3353.091098,7128
59,0.1,weighted_count_2000,38596,0.8957145818,0.8963367544,0.009767141557,0.5890410959,3325.129936,1901.221318,7128
71,0.1,weighted_count_2000,38596,0.8958182195,0.8965228547,0.008885536349,0.602739726,3459.963753,2673.604285,7128
17,0.1,time_window_3,38596,0.8952223028,0.8962199424,0.009800870706,0.4931506849,3598.632112,3595.503938,7128
29,0.1,time_window_3,38596,0.8954036688,0.8957335816,0.009657456953,0.5616438356,3580.41582,3478.419551,7128
43,0.1,time_window_3,38596,0.8965955021,0.8974635118,0.008778629893,0.5342465753,3561.837988,3417.87522,7128
59,0.1,time_window_3,38596,0.8953518499,0.8957695412,0.01031105681,0.5753424658,3318.048451,1862.154705,7128
71,0.1,time_window_3,38596,0.8956109441,0.8961037469,0.009516564875,0.6164383562,3462.312157,2695.477148,7128
