seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size,extra_delay_blocks
17,0,rolling,303,542,16.71952009,1000,6,,0.8948339483,3767.241697,4931.5,7128,3
17,0,static,303,542,14.88379383,13942,33,,0.8782287823,3177.479705,1198,7128,7
17,0,rolling,303,542,16.17732906,1000,9,,0.889298893,3609.638376,4021.5,7128,7
17,0,static,304,328,14.88379383,18096,34,,0.8567073171,2864.253049,657.5,7128,0
17,0,rolling,304,328,16.8095347,1000,2,,0.875,3446.737805,1935,7128,0
17,0,static,304,328,14.88379383,17554,34,,0.8567073171,2864.253049,657.5,7128,1
17,0,rolling,304,328,17.99513578,1000,3,,0.887195122,3779.658537,4897.5,7128,1
17,0,static,304,328,14.88379383,16368,34,,0.8567073171,2864.253049,657.5,7128,3
17,0,rolling,304,328,17.78324986,1000,5,,0.8841463415,3724.378049,4618,7128,3
17,0,static,304,328,14.88379383,14458,34,,0.8567073171,2864.253049,657.5,7128,7
17,0,rolling,304,328,16.52709749,1000,9,,0.875,3360.707317,1718,7128,7
17,0,static,305,328,14.88379383,18424,35,,0.868902439,2617.993902,626.5,7128,0
17,0,rolling,305,328,17.95536423,1000,3,,0.9298780488,3744.676829,4959.5,7128,0
17,0,static,305,328,14.88379383,18096,35,,0.868902439,2617.993902,626.5,7128,1
17,0,rolling,305,328,16.8095347,1000,3,,0.9024390244,3388.368902,1984.5,7128,1
17,0,static,305,328,14.88379383,16984,35,,0.868902439,2617.993902,626.5,7128,3
17,0,rolling,305,328,17.00041509,1000,5,,0.9146341463,3455.554878,2743,7128,3
17,0,static,305,328,14.88379383,14750,35,,0.868902439,2617.993902,626.5,7128,7
17,0,rolling,305,328,17.46262169,1000,10,,0.9268292683,3607.128049,4223,7128,7
17,0,static,306,582,14.88379383,18752,36,,0.8573883162,3002.790378,615,7128,0
17,0,rolling,306,582,17.18708611,1000,3,,0.8934707904,3601.572165,3610,7128,0
17,0,static,306,582,14.88379383,18424,36,,0.8573883162,3002.790378,615,7128,1
17,0,rolling,306,582,17.95536423,1000,4,,0.9003436426,3771.61512,4780.5,7128,1
17,0,static,306,582,14.88379383,17554,36,,0.8573883162,3002.790378,615,7128,3
17,0,rolling,306,582,17.99513578,1000,5,,0.9003436426,3779.458763,4853,7128,3
17,0,static,306,582,14.88379383,15002,36,,0.8573883162,3002.790378,615,7128,7
17,0,rolling,306,582,16.71952009,1000,10,,0.8900343643,3490.575601,1900.5,7128,7
17,0,static,307,588,14.88379383,19334,37,,0.8554421769,3129.464286,979,7128,0
17,0,rolling,307,588,17.34167004,1000,3,,0.8945578231,3885.569728,5737,7128,0
17,0,static,307,588,14.88379383,18752,37,,0.8554421769,3129.464286,979,7128,1
17,0,rolling,307,588,17.18708611,1000,4,,0.8945578231,3844.72619,5529,7128,1
17,0,static,307,588,14.88379383,18096,37,,0.8554421769,3129.464286,979,7128,3
17,0,rolling,307,588,16.8095347,1000,5,,0.8928571429,3725.482993,4831.5,7128,3
17,0,static,307,588,14.88379383,15704,37,,0.8554421769,3129.464286,979,7128,7
17,0,rolling,307,588,16.71952009,1000,10,,0.8928571429,3702.423469,4670.5,7128,7
17,0,static,308,562,14.88379383,19922,38,,0.8558718861,3186.637011,760.5,7128,0
17,0,rolling,308,562,17.65591836,1000,2,,0.8896797153,3876.619217,5825,7128,0
17,0,static,308,562,14.88379383,19334,38,,0.8558718861,3186.637011,760.5,7128,1
17,0,rolling,308,562,17.34167004,1000,4,,0.8879003559,3789.169039,5341.5,7128,1
17,0,static,308,562,14.88379383,18424,38,,0.8558718861,3186.637011,760.5,7128,3
17,0,rolling,308,562,17.95536423,1000,6,,0.8932384342,3943.254448,6196,7128,3
17,0,static,308,562,14.88379383,16368,38,,0.8558718861,3186.637011,760.5,7128,7
17,0,rolling,308,562,17.78324986,1000,9,,0.8914590747,3910.521352,5962.5,7128,7
17,0,static,309,626,14.88379383,20484,39,,0.8498402556,3258.803514,1157,7128,0
17,0,rolling,309,626,18.1419684,1000,2,,0.9073482428,4099.653355,6722.5,7128,0
17,0,static,309,626,14.88379383,19922,39,,0.8498402556,3258.803514,1157,7128,1
17,0,rolling,309,626,17.65591836,1000,3,,0.9041533546,4002.624601,6365,7128,1
17,0,static,309,626,14.88379383,18752,39,,0.8498402556,3258.803514,1157,7128,3
17,0,rolling,309,626,17.18708611,1000,6,,0.892971246,3896.341853,5769,7128,3
17,0,static,309,626,14.88379383,16984,39,,0.8498402556,3258.803514,1157,7128,7
17,0,rolling,309,626,17.00041509,1000,9,,0.892971246,3852.466454,5546,7128,7
17,0,static,310,620,14.88379383,21110,40,,0.8725806452,2570.264516,359,7128,0
17,0,rolling,310,620,17.70560127,1000,2,,0.9274193548,3490.183871,1984.5,7128,0
17,0,static,310,620,14.88379383,20484,40,,0.8725806452,2570.264516,359,7128,1
17,0,rolling,310,620,18.1419684,1000,3,,0.9419354839,3605.667742,4072,7128,1
17,0,static,310,620,14.88379383,19334,40,,0.8725806452,2570.264516,359,7128,3
17,0,rolling,310,620,17.34167004,1000,6,,0.9225806452,3395,1660,7128,3
17,0,static,310,620,14.88379383,17554,40,,0.8725806452,2570.264516,359,7128,7
17,0,rolling,310,620,17.99513578,1000,9,,0.935483871,3572.237097,3633,7128,7
17,0,static,311,438,14.88379383,21730,41,,0.8561643836,2261.034247,195.5,7128,0
17,0,rolling,311,438,16.87587738,1000,2,,0.901826484,2807.383562,516,7128,0
17,0,static,311,438,14.88379383,21110,41,,0.8561643836,2261.034247,195.5,7128,1
17,0,rolling,311,438,17.70560127,1000,3,,0.9200913242,3035.178082,732,7128,1
17,0,static,311,438,14.88379383,19922,41,,0.8561643836,2261.034247,195.5,7128,3
17,0,rolling,311,438,17.65591836,1000,5,,0.9200913242,3023.349315,716.5,7128,3
